,,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAJU00MHL,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MCHL00AUS,MCHL00AUS,MCHL00AUS,MCHL00AUS,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,TUVA00TUV,TUVA00TUV,TUVA00TUV,TUVA00TUV,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
G,2W,29.7,30693.0,66.0,0.2,29.8,33037.0,119.0,0.35,31.5,27079.0,81.0,0.27,31.0,27591.0,65.0,0.36,30.6,30794.0,69.0,0.17,29.1,31399.0,158.0,0.35,30.9,26883.0,81.0,0.43,31.2,29065.0,114.0,0.41,39.3,29341.0,106.0,0.25,41.1,28053.0,47.0,0.23,41.4,33060.0,72.0,0.24,30.1,29756.0,171.0,0.38,30.0,28958.0,111.0,0.39,30.1,31451.0,155.0,0.31,27.8,31254.0,113.0,0.28,30.2,27461.0,246.0,0.47,28.8,31496.0,102.0,0.29,28.0,30246.0,78.0,0.32,32.1,29349.0,73.0,0.2,30.1,30197.0,324.0,0.41,32.2,29170.0,39.0,0.15,31.0,27161.0,67.0,0.2,28.9,29247.0,238.0,0.42,41.3,29598.0,127.0,0.19,30.6,28636.0,243.0,0.38,31.5,26343.0,90.0,0.3,42.0,30750.0,85.0,0.19,31.9,25535.0,107.0,0.39,29.2,30607.0,100.0,0.37,30.1,26356.0,134.0,0.49,30.5,26181.0,117.0,0.49,31.9,27469.0,70.0,0.22,41.4,32653.0,68.0,0.2,30.0,29626.0,268.0,0.4,27.6,26979.0,97.0,0.42,30.1,24585.0,254.0,0.55,32.3,30507.0,64.0,0.19,28.8,30017.0,136.0,0.41,32.6,25109.0,73.0,0.29,30.5,26884.0,90.0,0.41,41.8,29478.0,80.0,0.22,29.6,30262.0,209.0,0.41,25.6,28294.0,38.0,0.12
G,5Q,48.1,11147.0,27.0,0.0,,,,,48.8,9760.0,18.0,0.0,,,,,46.5,9184.0,13.0,0.0,,,,,,,,,,,,,48.7,10544.0,37.0,0.0,50.5,10043.0,13.0,0.0,50.4,11998.0,26.0,0.0,,,,,,,,,46.9,11838.0,37.0,0.0,45.5,11318.0,40.0,0.0,,,,,47.1,11920.0,20.0,0.0,44.9,11375.0,25.0,0.0,47.8,10704.0,17.0,0.0,,,,,46.4,10249.0,22.0,0.0,31.7,2893.0,35.0,0.0,,,,,50.0,10464.0,40.0,0.0,,,,,47.6,9549.0,19.0,0.0,50.5,11206.0,35.0,0.0,,,,,,,,,,,,,,,,,48.9,9551.0,13.0,0.0,50.3,11875.0,21.0,0.0,,,,,,,,,,,,,46.7,10710.0,19.0,0.0,,,,,49.0,9339.0,22.0,0.0,,,,,50.5,10304.0,20.0,0.0,,,,,34.2,8203.0,71.0,0.0
R,1C,43.8,24990.0,54.0,0.97,43.8,25858.0,56.0,1.2,44.6,21915.0,101.0,1.39,45.1,20045.0,36.0,1.41,42.9,20777.0,96.0,1.72,43.0,21763.0,74.0,1.79,45.0,23064.0,112.0,1.45,45.4,24433.0,89.0,1.38,46.2,21172.0,80.0,1.47,46.6,20597.0,29.0,1.48,46.4,25807.0,40.0,1.04,44.9,21801.0,64.0,1.27,43.0,21256.0,308.0,2.22,44.8,25079.0,149.0,1.31,42.7,22052.0,175.0,1.5,44.1,20681.0,245.0,1.45,42.2,22845.0,163.0,1.73,41.5,21064.0,134.0,1.46,46.0,22188.0,78.0,1.05,44.6,22340.0,86.0,1.39,46.3,22764.0,49.0,1.24,38.7,19989.0,95.0,1.2,43.4,22164.0,116.0,1.52,45.8,22399.0,72.0,0.96,43.8,21335.0,176.0,1.52,44.7,19367.0,78.0,1.53,46.3,25269.0,81.0,1.09,45.3,20043.0,117.0,1.48,43.5,22243.0,142.0,1.58,43.5,19989.0,246.0,1.82,44.7,19793.0,196.0,1.5,45.1,21920.0,109.0,1.19,46.3,26172.0,47.0,0.95,44.5,21502.0,183.0,1.75,42.2,19503.0,150.0,1.71,42.2,19714.0,309.0,1.77,46.3,20042.0,62.0,1.39,43.7,21878.0,162.0,1.74,44.8,20344.0,182.0,1.33,45.0,20772.0,66.0,1.44,46.5,24471.0,48.0,1.08,43.9,20990.0,84.0,1.78,38.8,20691.0,52.0,1.04
R,2C,41.6,24695.0,78.0,0.99,41.2,25811.0,74.0,1.16,41.1,21380.0,107.0,1.33,41.1,20022.0,40.0,1.34,42.1,18360.0,88.0,1.7,40.1,21735.0,79.0,1.71,40.8,22999.0,114.0,1.26,41.1,24372.0,111.0,1.41,41.1,20897.0,175.0,1.43,42.4,20536.0,41.0,1.46,41.6,25619.0,109.0,1.1,41.0,21760.0,75.0,1.28,40.0,21054.0,299.0,1.91,41.3,24619.0,139.0,1.2,39.5,20856.0,175.0,1.45,40.2,20579.0,245.0,1.4,40.6,22372.0,145.0,1.78,40.0,20724.0,115.0,1.41,41.3,21581.0,131.0,1.13,41.1,22307.0,94.0,1.32,41.2,22269.0,102.0,1.34,41.0,20097.0,66.0,1.09,40.1,22095.0,119.0,1.36,40.6,21769.0,139.0,0.91,40.8,21273.0,188.0,1.53,41.6,18798.0,95.0,1.57,,,,,41.5,19927.0,130.0,1.41,39.5,22152.0,128.0,1.5,39.6,19832.0,225.0,1.48,40.6,19615.0,177.0,1.3,41.6,21348.0,99.0,1.26,41.5,26004.0,93.0,0.84,40.5,21412.0,194.0,1.57,39.4,19407.0,142.0,1.66,39.6,19425.0,355.0,1.62,41.5,19199.0,63.0,1.5,39.7,21800.0,165.0,1.57,41.7,19643.0,135.0,1.31,41.4,20733.0,68.0,1.24,43.0,24398.0,51.0,1.05,40.5,20915.0,99.0,1.62,39.5,19945.0,55.0,1.12
R,2P,42.0,24572.0,51.0,0.86,40.5,25726.0,99.0,1.12,41.5,21215.0,81.0,1.09,40.5,19939.0,47.0,1.27,43.0,16937.0,25.0,1.46,39.4,21706.0,85.0,1.79,40.2,22888.0,125.0,1.25,40.6,24287.0,133.0,1.17,40.7,20970.0,152.0,1.53,42.0,20542.0,41.0,1.45,41.2,25606.0,111.0,1.0,40.4,21605.0,117.0,1.22,39.4,20800.0,287.0,1.93,41.7,24373.0,113.0,0.96,39.9,20468.0,195.0,1.51,39.7,20376.0,274.0,1.53,41.1,22075.0,136.0,1.68,40.4,20520.0,87.0,1.37,41.7,21394.0,138.0,1.03,40.5,22238.0,112.0,1.33,41.6,22048.0,99.0,1.33,41.3,19853.0,47.0,1.07,39.5,21949.0,135.0,1.35,40.2,21832.0,137.0,0.91,40.2,21183.0,192.0,1.37,42.0,18618.0,62.0,1.29,41.9,25095.0,162.0,1.02,41.0,19754.0,139.0,1.4,38.8,22039.0,125.0,1.41,39.1,19592.0,241.0,1.46,40.1,19482.0,147.0,1.44,42.1,21183.0,89.0,1.13,41.2,25989.0,87.0,0.87,39.9,21288.0,208.0,1.54,38.4,19242.0,150.0,1.46,39.1,19096.0,403.0,1.63,42.0,18433.0,47.0,1.4,39.1,21583.0,191.0,1.57,42.2,19427.0,82.0,1.09,40.8,20663.0,83.0,1.18,42.6,24395.0,54.0,1.08,39.9,20774.0,115.0,1.58,39.8,19866.0,36.0,0.82
C,1I,,,,,39.4,23877.0,179.0,0.0,,,,,39.6,11624.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,31636.0,14.0,0.0,40.6,20829.0,37.0,0.0,,,,,,,,,40.3,20427.0,196.0,0.0,40.7,22747.0,68.0,0.0,,,,,,,,,40.9,26080.0,390.0,0.0,,,,,42.3,24335.0,19.0,0.0,41.4,30823.0,52.0,0.0,,,,,39.0,15919.0,112.0,0.0,,,,,,,,,42.2,28042.0,13.0,0.0,41.7,27802.0,406.0,0.0,41.8,23083.0,42.0,0.0,41.0,22092.0,65.0,0.0,,,,,,,,,39.7,16156.0,130.0,0.0,38.8,23651.0,55.0,0.0,39.2,15331.0,25.0,0.0,44.8,24054.0,23.0,0.0,40.0,19063.0,496.0,0.0,,,,,,,,,,,,,42.6,31829.0,5.0,0.0,40.8,28362.0,19.0,0.0
E,1X,,,,,44.8,10465.0,10.0,0.23,,,,,45.0,7962.0,6.0,0.3,,,,,42.7,10018.0,14.0,0.23,45.5,8680.0,9.0,0.34,44.5,9560.0,20.0,0.24,,,,,,,,,,,,,44.1,9756.0,15.0,0.34,44.6,8412.0,34.0,0.44,,,,,,,,,44.6,7854.0,29.0,0.35,,,,,,,,,,,,,44.8,8920.0,21.0,0.24,,,,,,,,,43.5,9523.0,16.0,0.38,,,,,44.0,8418.0,35.0,0.33,,,,,,,,,44.9,8360.0,23.0,0.39,44.9,8864.0,7.0,0.27,45.3,8031.0,8.0,0.47,45.1,7639.0,20.0,0.56,,,,,,,,,44.3,8226.0,37.0,0.36,42.6,6146.0,7.0,0.4,43.5,7359.0,53.0,0.55,,,,,44.2,8250.0,20.0,0.38,,,,,46.0,7165.0,11.0,0.33,,,,,43.9,9326.0,31.0,0.31,,,,
E,5X,,,,,44.1,9098.0,11.0,0.23,,,,,46.0,7255.0,5.0,0.25,,,,,43.2,8227.0,14.0,0.26,45.3,7699.0,9.0,0.34,45.1,8439.0,20.0,0.34,,,,,,,,,,,,,44.8,8441.0,19.0,0.32,45.7,7425.0,38.0,0.35,,,,,,,,,46.1,6931.0,31.0,0.37,,,,,,,,,,,,,46.0,7734.0,17.0,0.27,,,,,,,,,44.5,8284.0,15.0,0.32,,,,,46.0,7396.0,36.0,0.31,,,,,,,,,46.0,7269.0,23.0,0.37,47.4,7479.0,5.0,0.26,47.2,7095.0,4.0,0.42,45.8,6657.0,22.0,0.48,,,,,,,,,46.5,7211.0,38.0,0.29,45.6,5272.0,11.0,0.37,45.2,6556.0,49.0,0.56,,,,,45.9,7208.0,18.0,0.29,,,,,46.0,6474.0,10.0,0.34,,,,,44.2,7910.0,36.0,0.3,,,,
E,7X,,,,,44.4,9100.0,10.0,0.0,,,,,45.6,7255.0,5.0,0.0,,,,,42.2,8227.0,14.0,0.0,45.0,7700.0,8.0,0.0,45.3,8439.0,20.0,0.0,,,,,,,,,,,,,44.7,8441.0,19.0,0.0,46.0,7421.0,36.0,0.0,,,,,,,,,45.4,6921.0,29.0,0.0,,,,,,,,,,,,,45.9,7734.0,17.0,0.0,,,,,,,,,44.2,8284.0,15.0,0.0,,,,,45.1,7394.0,34.0,0.0,,,,,,,,,45.6,7269.0,24.0,0.0,46.4,7479.0,5.0,0.0,46.9,7095.0,4.0,0.0,45.4,6658.0,20.0,0.0,,,,,,,,,45.6,7210.0,38.0,0.0,44.3,5272.0,11.0,0.0,44.6,6551.0,51.0,0.0,,,,,45.2,7208.0,18.0,0.0,,,,,45.1,6473.0,10.0,0.0,,,,,45.1,7906.0,38.0,0.0,,,,
E,8X,,,,,48.6,9075.0,10.0,0.0,,,,,51.7,7108.0,5.0,0.0,,,,,48.6,8224.0,14.0,0.0,51.0,7643.0,7.0,0.0,51.1,8439.0,20.0,0.0,,,,,,,,,,,,,49.2,8441.0,19.0,0.0,50.2,7413.0,32.0,0.0,,,,,,,,,50.2,6923.0,29.0,0.0,,,,,,,,,,,,,51.6,7735.0,16.0,0.0,,,,,,,,,50.1,8284.0,15.0,0.0,,,,,51.4,7269.0,33.0,0.0,,,,,,,,,50.4,7216.0,21.0,0.0,51.3,7478.0,4.0,0.0,52.8,7087.0,3.0,0.0,50.3,6644.0,21.0,0.0,,,,,,,,,52.1,7081.0,31.0,0.0,50.5,5272.0,11.0,0.0,50.7,6493.0,47.0,0.0,,,,,51.2,7209.0,18.0,0.0,,,,,51.2,6474.0,10.0,0.0,,,,,49.2,7871.0,38.0,0.0,,,,
