,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,5X,47.2,12383.0,37.0,0.0,,,,,48.9,10229.0,33.0,0.0,,,,,49.4,9816.0,33.0,0.0,48.7,10688.0,54.0,0.0,,,,,,,,,,,,,49.4,10573.0,68.0,0.0,48.9,11163.0,114.0,0.0,,,,,,,,,,,,,,,,,,,,,49.0,10602.0,88.0,0.0,,,,,,,,,,,,,50.8,9196.0,84.0,0.0,48.8,11949.0,89.0,0.0,49.1,10933.0,132.0,0.0,47.9,10702.0,121.0,0.0,,,,,,,,,48.7,11779.0,127.0,0.0,47.4,11082.0,79.0,0.0,47.8,10101.0,194.0,0.0,,,,,,,,,48.2,10602.0,47.0,0.0,,,,,48.6,10738.0,69.0,0.0,,,,
J,1C,43.5,1023.0,3.0,0.44,,,,,,,,,40.8,2880.0,0.0,0.17,,,,,37.9,526.0,4.0,0.53,47.2,2880.0,0.0,0.19,47.3,2880.0,0.0,0.23,,,,,45.8,2880.0,0.0,0.32,44.9,2880.0,0.0,0.43,38.5,820.0,2.0,0.33,,,,,,,,,,,,,,,,,44.0,2880.0,0.0,0.39,,,,,42.9,2880.0,0.0,0.3,,,,,43.9,2761.0,1.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,2880.0,0.0,0.19,,,,,,,,,,,,,43.9,2880.0,0.0,0.41,40.0,2880.0,0.0,0.2
J,1Z,43.1,1014.0,7.0,0.45,,,,,,,,,,,,,,,,,37.8,500.0,14.0,0.82,,,,,,,,,,,,,45.2,2880.0,0.0,0.36,44.3,2880.0,0.0,0.46,,,,,,,,,,,,,,,,,,,,,43.4,2879.0,1.0,0.41,,,,,,,,,,,,,43.3,2727.0,20.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,2877.0,3.0,0.43,,,,
J,2X,43.3,1013.0,6.0,0.33,,,,,,,,,,,,,,,,,33.2,482.0,14.0,0.87,,,,,,,,,,,,,45.0,2880.0,0.0,0.32,44.3,2880.0,0.0,0.36,,,,,,,,,,,,,,,,,,,,,43.5,2879.0,1.0,0.33,,,,,,,,,,,,,43.5,2727.0,20.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,2877.0,3.0,0.36,,,,
J,5X,46.4,1015.0,7.0,0.0,,,,,,,,,,,,,,,,,37.9,506.0,13.0,0.0,,,,,,,,,,,,,49.7,2880.0,0.0,0.0,49.3,2880.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,48.2,2879.0,1.0,0.0,,,,,,,,,,,,,48.4,2727.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,2877.0,3.0,0.0,,,,
J,6X,45.3,1014.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,2880.0,0.0,0.0,39.8,2880.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,39.3,2879.0,1.0,0.0,,,,,,,,,,,,,45.1,2727.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,2877.0,3.0,0.0,,,,
R,1C,43.8,26345.0,70.0,1.27,44.8,22186.0,104.0,1.24,44.9,20418.0,32.0,1.85,43.2,19843.0,73.0,1.55,45.0,23338.0,88.0,1.64,45.7,24799.0,87.0,1.04,45.8,21368.0,76.0,1.44,46.2,20815.0,44.0,1.39,46.3,26107.0,45.0,1.12,45.0,22044.0,59.0,1.25,43.2,21802.0,321.0,1.77,45.4,25902.0,175.0,1.15,42.6,22222.0,192.0,1.58,41.0,22746.0,107.0,1.47,46.1,22641.0,101.0,1.34,46.4,22944.0,45.0,1.2,43.6,22270.0,159.0,1.22,45.6,22530.0,80.0,1.27,44.7,19684.0,76.0,1.28,46.4,25811.0,69.0,1.05,45.5,20224.0,160.0,1.35,43.5,22852.0,127.0,1.67,43.6,20236.0,226.0,1.91,44.5,20614.0,199.0,1.67,45.2,22239.0,115.0,1.29,46.4,26419.0,45.0,0.82,44.5,21755.0,135.0,1.42,41.2,19933.0,140.0,1.71,42.2,20270.0,299.0,1.81,46.2,20793.0,59.0,1.5,44.8,20830.0,170.0,1.33,45.1,21191.0,69.0,1.42,46.2,24759.0,48.0,0.97,43.4,20813.0,182.0,1.87,39.1,20768.0,57.0,1.0
R,1P,42.4,26337.0,74.0,1.16,,,,,43.5,20413.0,32.0,1.66,,,,,43.5,23325.0,91.0,1.54,44.2,24779.0,94.0,1.0,,,,,,,,,,,,,43.6,22028.0,62.0,1.23,41.8,21752.0,328.0,1.6,,,,,,,,,,,,,,,,,,,,,42.3,22228.0,158.0,1.1,,,,,,,,,,,,,44.0,20190.0,166.0,1.29,42.1,22833.0,128.0,1.65,42.3,20207.0,225.0,1.93,43.2,20575.0,195.0,1.66,,,,,,,,,43.1,21731.0,141.0,1.33,40.0,19921.0,138.0,1.53,40.9,20232.0,298.0,1.67,,,,,,,,,43.7,21180.0,67.0,1.3,,,,,42.1,20766.0,208.0,1.67,,,,
R,2C,40.9,26302.0,79.0,1.22,41.1,21643.0,111.0,1.29,40.7,20404.0,32.0,1.68,42.2,16534.0,61.0,1.57,40.7,23273.0,92.0,1.55,41.0,24730.0,115.0,1.1,40.8,20945.0,175.0,1.4,42.0,20709.0,72.0,1.32,41.2,25895.0,137.0,1.01,40.9,22005.0,66.0,1.32,40.1,21642.0,321.0,1.46,41.6,25362.0,181.0,1.22,38.9,20920.0,243.0,1.6,39.5,22214.0,108.0,1.56,41.2,22070.0,132.0,1.29,40.9,22379.0,83.0,1.21,40.1,22193.0,164.0,1.16,40.2,21941.0,149.0,1.21,41.4,19187.0,85.0,1.27,,,,,41.4,20113.0,168.0,1.29,39.3,22780.0,125.0,1.54,39.7,20042.0,232.0,1.69,40.4,20433.0,198.0,1.56,41.6,21582.0,104.0,1.34,41.3,26206.0,113.0,0.75,40.4,21684.0,147.0,1.4,38.7,19875.0,136.0,1.55,39.5,19976.0,353.0,1.66,41.5,19358.0,33.0,1.49,41.5,19980.0,136.0,1.27,41.3,21142.0,68.0,1.33,43.0,24657.0,56.0,0.87,40.1,20721.0,214.0,1.7,39.3,20430.0,66.0,1.05
R,2P,40.2,26191.0,113.0,1.07,41.5,21441.0,89.0,1.16,40.1,20338.0,42.0,1.54,43.3,15033.0,18.0,1.47,40.2,23108.0,110.0,1.36,40.4,24630.0,137.0,1.09,40.4,21013.0,164.0,1.47,41.7,20716.0,77.0,1.42,40.9,25906.0,125.0,1.03,40.3,21886.0,83.0,1.21,39.5,21441.0,320.0,1.76,42.1,25094.0,131.0,1.25,39.4,20347.0,221.0,1.48,40.0,21900.0,90.0,1.35,41.6,21904.0,138.0,1.18,41.2,22236.0,109.0,1.18,39.5,22058.0,187.0,1.02,39.8,22023.0,131.0,1.23,41.8,19105.0,62.0,1.09,41.5,25618.0,137.0,1.04,40.9,19981.0,164.0,1.24,38.7,22574.0,170.0,1.43,39.2,19776.0,232.0,1.68,39.9,20220.0,176.0,1.35,42.1,21415.0,80.0,1.2,41.0,26183.0,112.0,0.75,39.8,21534.0,155.0,1.32,37.5,19679.0,156.0,1.51,39.1,19530.0,409.0,1.5,42.0,18902.0,35.0,1.29,42.0,19771.0,93.0,1.2,40.7,21038.0,77.0,1.31,42.6,24668.0,52.0,0.95,39.5,20572.0,233.0,1.55,,,,
