,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,5X,47.2,12376.0,38.0,0.0,,,,,49.0,10225.0,39.0,0.0,,,,,45.9,12216.0,95.0,0.0,49.5,9805.0,35.0,0.0,48.7,10652.0,38.0,0.0,,,,,,,,,,,,,49.5,10588.0,75.0,0.0,49.0,11170.0,108.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.1,10654.0,66.0,0.0,,,,,,,,,,,,,50.9,9218.0,70.0,0.0,48.8,11944.0,82.0,0.0,48.9,10956.0,125.0,0.0,47.9,10684.0,119.0,0.0,,,,,,,,,48.9,11815.0,116.0,0.0,47.7,11231.0,76.0,0.0,47.8,10154.0,174.0,0.0,,,,,,,,,48.1,10583.0,49.0,0.0,,,,,48.6,10757.0,49.0,0.0,,,,
J,1C,43.5,999.0,3.0,0.39,,,,,,,,,40.8,2880.0,0.0,0.16,42.9,2880.0,0.0,0.28,,,,,37.7,537.0,4.0,0.53,47.3,2880.0,0.0,0.19,47.3,2880.0,0.0,0.23,,,,,,,,,,,,,38.2,815.0,1.0,0.36,,,,,,,,,,,,,,,,,44.4,2465.0,0.0,0.25,,,,,,,,,42.8,2880.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,2880.0,0.0,0.19,,,,,,,,,,,,,,,,,40.3,2880.0,0.0,0.2
J,2X,43.1,997.0,5.0,0.32,,,,,,,,,,,,,42.3,2880.0,0.0,0.26,,,,,32.9,484.0,17.0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,5X,46.3,997.0,5.0,0.0,,,,,,,,,,,,,46.1,2880.0,0.0,0.0,,,,,37.9,512.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,6X,45.3,997.0,5.0,0.0,,,,,,,,,,,,,39.2,2880.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1C,43.8,26435.0,65.0,1.12,44.7,21881.0,109.0,1.32,45.1,20852.0,41.0,1.5,43.2,21123.0,115.0,2.03,43.0,22068.0,124.0,1.82,45.0,23064.0,98.0,1.59,44.8,24433.0,106.0,1.03,46.1,21578.0,98.0,1.67,46.4,20997.0,33.0,1.4,46.3,25925.0,40.0,0.87,45.1,22315.0,61.0,1.67,43.1,22197.0,321.0,1.79,44.8,25378.0,138.0,1.16,42.7,21775.0,141.0,1.43,40.7,22082.0,113.0,1.38,46.0,22133.0,99.0,1.07,46.2,23091.0,56.0,1.09,39.0,20645.0,94.0,1.52,43.8,22729.0,120.0,1.62,45.6,22391.0,79.0,1.03,44.9,19888.0,88.0,1.35,46.3,25670.0,71.0,1.12,45.6,20592.0,116.0,1.5,43.6,22818.0,148.0,1.76,43.6,20698.0,250.0,1.97,44.8,20658.0,216.0,2.05,45.2,21685.0,103.0,1.16,46.5,26320.0,48.0,0.81,44.7,22470.0,168.0,1.66,42.2,20308.0,174.0,1.95,42.4,20614.0,277.0,1.84,46.4,20824.0,65.0,1.56,44.8,20317.0,179.0,1.47,45.2,21600.0,70.0,1.6,46.5,24521.0,47.0,1.01,44.1,21461.0,78.0,1.96,39.5,21317.0,66.0,1.38
R,1P,42.4,26418.0,71.0,0.91,,,,,43.7,20846.0,42.0,1.43,,,,,41.7,22047.0,134.0,1.57,43.5,23048.0,103.0,1.53,43.4,24408.0,116.0,1.0,,,,,,,,,,,,,43.7,22305.0,61.0,1.5,41.8,22155.0,323.0,1.66,,,,,,,,,,,,,,,,,,,,,,,,,42.4,22710.0,124.0,1.45,,,,,,,,,,,,,44.2,20580.0,119.0,1.42,42.2,22805.0,152.0,1.61,42.2,20668.0,259.0,1.68,43.4,20619.0,211.0,1.76,,,,,,,,,43.3,22449.0,169.0,1.54,40.9,20285.0,179.0,1.68,41.1,20593.0,282.0,1.7,,,,,,,,,43.8,21582.0,70.0,1.43,,,,,42.7,21447.0,79.0,1.88,,,,
R,2C,41.1,26385.0,85.0,0.96,41.1,21371.0,107.0,1.2,40.9,20824.0,46.0,1.45,42.4,18754.0,98.0,1.85,39.9,22026.0,130.0,1.65,40.8,22999.0,104.0,1.54,40.5,24333.0,141.0,1.05,40.9,21262.0,186.0,1.69,42.3,20930.0,42.0,1.32,41.4,25718.0,115.0,0.93,41.1,22281.0,66.0,1.51,39.8,21994.0,312.0,1.71,41.4,24786.0,144.0,1.07,39.5,20747.0,135.0,1.55,39.9,21822.0,114.0,1.44,41.3,21595.0,114.0,1.04,41.0,22555.0,109.0,1.15,41.0,20697.0,74.0,1.53,40.3,22665.0,127.0,1.47,40.4,21716.0,159.0,1.07,41.7,19346.0,92.0,1.34,,,,,41.6,20493.0,134.0,1.44,39.4,22715.0,139.0,1.6,39.4,20503.0,262.0,1.68,40.4,20479.0,194.0,1.62,41.7,21165.0,103.0,1.16,41.5,26142.0,91.0,0.69,40.3,22402.0,175.0,1.56,39.2,20216.0,171.0,1.7,39.5,20371.0,350.0,1.52,41.4,19959.0,51.0,1.5,41.6,19569.0,138.0,1.42,41.4,21552.0,69.0,1.4,43.0,24444.0,55.0,0.85,40.6,21401.0,85.0,1.9,39.5,20553.0,48.0,1.38
R,2P,40.5,26276.0,106.0,0.9,41.5,21166.0,77.0,1.02,40.3,20721.0,54.0,1.34,43.3,16740.0,25.0,1.54,39.3,21981.0,146.0,1.47,40.3,22867.0,118.0,1.34,40.0,24195.0,168.0,0.95,40.5,21323.0,182.0,1.62,41.9,20940.0,42.0,1.39,41.1,25701.0,118.0,0.99,40.5,22150.0,103.0,1.58,39.3,21667.0,324.0,1.84,41.8,24521.0,98.0,0.99,39.9,20437.0,119.0,1.48,40.4,21586.0,102.0,1.3,41.7,21386.0,135.0,0.98,41.4,22374.0,112.0,0.95,41.3,20442.0,53.0,1.38,39.7,22537.0,157.0,1.37,40.0,21791.0,131.0,1.05,42.1,19189.0,65.0,1.25,41.7,25464.0,157.0,1.1,41.1,20300.0,133.0,1.33,38.8,22561.0,144.0,1.49,39.0,20176.0,286.0,1.71,39.8,20334.0,161.0,1.53,42.1,21028.0,87.0,1.03,41.2,26114.0,106.0,0.66,39.7,22244.0,186.0,1.53,38.1,19991.0,184.0,1.7,39.0,20031.0,379.0,1.72,41.9,19297.0,45.0,1.46,42.1,19338.0,94.0,1.12,40.8,21459.0,87.0,1.33,42.6,24447.0,56.0,0.95,40.0,21267.0,101.0,1.87,,,,
C,2I,,,,,38.9,8384.0,33.0,0.65,,,,,43.9,29347.0,3.0,0.17,41.4,29011.0,15.0,0.26,38.9,8353.0,15.0,0.64,38.6,13149.0,291.0,0.55,45.4,23030.0,13.0,0.15,45.8,23040.0,7.0,0.14,,,,,,,,,,,,,41.6,13813.0,53.0,0.45,43.9,3298.0,2.0,0.35,39.8,22304.0,49.0,0.43,42.5,6981.0,23.0,0.52,46.5,3089.0,4.0,0.32,,,,,,,,,,,,,43.8,33704.0,36.0,0.28,41.5,6333.0,17.0,0.32,,,,,,,,,,,,,,,,,40.8,11240.0,26.0,0.51,41.6,7349.0,19.0,0.31,,,,,,,,,,,,,,,,,39.5,8079.0,22.0,0.56,40.5,19670.0,34.0,0.57,42.1,12974.0,22.0,0.3,,,,,,,,
