,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,5X,47.2,12374.0,45.0,0.0,,,,,49.0,10236.0,40.0,0.0,,,,,49.3,9818.0,34.0,0.0,48.2,10644.0,43.0,0.0,,,,,,,,,,,,,47.0,720.0,18.0,0.0,49.1,11176.0,86.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.4,9541.0,63.0,0.0,,,,,,,,,,,,,50.8,9242.0,72.0,0.0,48.8,11957.0,72.0,0.0,48.8,10963.0,122.0,0.0,47.9,10696.0,123.0,0.0,,,,,,,,,48.8,11840.0,122.0,0.0,47.6,11189.0,76.0,0.0,47.8,10123.0,158.0,0.0,,,,,,,,,48.2,10581.0,49.0,0.0,,,,,48.6,10738.0,54.0,0.0,,,,
J,1C,43.5,1007.0,2.0,0.38,,,,,,,,,40.9,2880.0,0.0,0.16,,,,,37.9,535.0,4.0,0.88,47.3,2840.0,1.0,0.18,47.4,2880.0,0.0,0.23,,,,,,,,,,,,,38.7,790.0,3.0,0.35,,,,,,,,,,,,,,,,,44.2,2520.0,0.0,0.25,,,,,,,,,42.9,2880.0,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,2880.0,0.0,0.19,,,,,,,,,,,,,,,,,40.0,2880.0,0.0,0.2
J,2X,43.3,997.0,8.0,0.33,,,,,,,,,,,,,,,,,32.7,491.0,20.0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,5X,46.5,997.0,8.0,0.0,,,,,,,,,,,,,,,,,37.9,512.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,6X,45.4,997.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1C,43.9,26440.0,70.0,1.18,44.5,22079.0,109.0,1.39,44.9,20805.0,45.0,1.72,43.4,19349.0,84.0,1.31,44.8,23229.0,84.0,1.63,45.4,24683.0,99.0,1.48,45.8,21567.0,82.0,1.11,46.2,21201.0,26.0,1.06,46.2,26083.0,52.0,1.35,44.5,2208.0,44.0,2.32,43.4,21494.0,276.0,1.84,45.0,25735.0,154.0,1.02,42.4,22217.0,191.0,1.66,41.0,22748.0,131.0,1.5,46.1,22121.0,98.0,1.42,46.2,22772.0,55.0,1.23,39.3,20671.0,88.0,1.31,43.6,19492.0,103.0,1.67,45.5,22778.0,81.0,1.32,44.8,20175.0,72.0,1.2,46.4,25536.0,69.0,0.95,45.3,20757.0,130.0,1.7,43.7,23230.0,135.0,1.71,43.8,20547.0,218.0,2.12,45.1,20461.0,151.0,2.03,45.2,22324.0,123.0,1.38,46.3,26400.0,47.0,1.05,44.5,22062.0,129.0,1.6,42.0,20233.0,129.0,1.94,42.5,20383.0,302.0,1.93,46.5,20631.0,60.0,1.93,44.7,20538.0,177.0,1.14,45.2,21274.0,61.0,1.35,46.5,24804.0,44.0,1.02,44.1,21333.0,72.0,1.61,39.1,21267.0,55.0,1.22
R,1P,42.5,26416.0,78.0,1.18,,,,,43.6,20795.0,45.0,1.52,,,,,43.4,23216.0,87.0,1.62,43.9,24669.0,105.0,1.34,,,,,,,,,,,,,43.1,2207.0,44.0,2.39,42.1,21451.0,280.0,1.81,,,,,,,,,,,,,,,,,,,,,,,,,42.3,19474.0,102.0,1.45,,,,,,,,,,,,,43.9,20744.0,130.0,1.66,42.3,23216.0,135.0,1.83,42.5,20507.0,222.0,2.03,43.7,20438.0,141.0,1.98,,,,,,,,,43.2,22041.0,130.0,1.38,40.8,20216.0,128.0,1.73,41.2,20346.0,309.0,1.77,,,,,,,,,43.8,21264.0,64.0,1.21,,,,,42.7,21322.0,74.0,1.45,,,,
R,2C,41.0,26393.0,84.0,1.11,41.2,21549.0,89.0,1.38,40.8,20777.0,45.0,1.61,42.3,17014.0,79.0,1.33,40.8,23181.0,86.0,1.55,40.4,24605.0,141.0,1.37,40.7,21237.0,216.0,1.02,42.1,21110.0,45.0,1.04,41.4,25893.0,129.0,1.34,39.2,2201.0,45.0,2.36,40.3,21303.0,283.0,1.75,41.6,25221.0,145.0,1.17,39.0,20730.0,240.0,1.88,39.8,22187.0,130.0,1.53,41.5,21449.0,130.0,1.31,41.0,22253.0,78.0,1.24,40.9,20852.0,48.0,1.29,40.2,19447.0,106.0,1.49,40.4,22319.0,125.0,1.1,41.3,19613.0,94.0,1.19,,,,,41.3,20616.0,138.0,1.56,39.4,23148.0,133.0,1.73,39.9,20342.0,236.0,2.0,40.9,20307.0,135.0,2.1,41.8,21819.0,111.0,1.37,41.4,26269.0,85.0,1.03,40.5,21990.0,138.0,1.54,39.3,20163.0,122.0,1.87,39.7,20129.0,360.0,1.67,41.5,19037.0,50.0,1.76,41.6,19684.0,136.0,1.2,41.5,21217.0,66.0,1.2,43.1,24712.0,52.0,0.91,40.3,21226.0,87.0,1.48,39.0,20806.0,65.0,1.28
R,2P,40.4,26305.0,112.0,0.91,41.5,21449.0,76.0,1.17,40.2,20676.0,60.0,1.52,43.1,14602.0,19.0,1.58,40.2,23070.0,106.0,1.51,39.8,24415.0,178.0,1.32,40.3,21313.0,184.0,1.08,41.7,21106.0,52.0,1.08,41.1,25898.0,128.0,1.3,38.5,2188.0,51.0,2.32,39.9,20967.0,273.0,1.65,42.0,25015.0,104.0,0.85,39.6,20206.0,193.0,1.59,40.2,21881.0,114.0,1.58,41.9,21264.0,107.0,1.0,41.4,22131.0,96.0,0.99,41.2,20672.0,41.0,1.1,39.7,19343.0,127.0,1.52,40.0,22384.0,113.0,1.19,41.7,19488.0,62.0,1.14,41.6,25366.0,144.0,0.99,40.8,20448.0,131.0,1.47,38.8,22993.0,150.0,1.77,39.5,19989.0,262.0,1.7,40.3,20131.0,123.0,2.01,42.2,21675.0,94.0,1.18,41.1,26228.0,89.0,1.13,39.9,21877.0,137.0,1.59,38.2,20053.0,125.0,1.64,39.3,19753.0,402.0,1.48,42.0,16844.0,29.0,1.39,42.1,19475.0,83.0,1.14,40.9,21140.0,79.0,1.15,42.7,24702.0,57.0,0.98,39.8,21044.0,111.0,1.37,,,,
C,2I,,,,,39.9,9163.0,42.0,0.59,,,,,44.1,29120.0,4.0,0.17,39.6,9090.0,20.0,0.61,38.9,14160.0,269.0,0.53,45.4,22710.0,21.0,0.14,45.8,23036.0,10.0,0.13,,,,,,,,,,,,,42.1,14367.0,69.0,0.45,44.5,3406.0,5.0,0.31,40.1,23093.0,52.0,0.42,43.1,7956.0,11.0,0.45,45.9,3767.0,6.0,0.37,,,,,,,,,,,,,43.9,32472.0,43.0,0.27,42.0,6953.0,27.0,0.27,,,,,,,,,,,,,,,,,41.3,12213.0,19.0,0.45,41.9,7992.0,16.0,0.26,,,,,,,,,,,,,,,,,40.2,8954.0,22.0,0.51,40.3,18952.0,58.0,0.55,42.4,14125.0,10.0,0.3,,,,,,,,
