id,#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName
139,JNAV00VNM,-1626346.47,5730605.79,2271881.48,21.004585277777785,105.84394694444448,34.87,TRIMBLE NETR9
140,JOG200IDN,-2200208.0871,5924895.6273,-855929.2334,-7.763813888888889,110.37246388888892,174.4,SEPT POLARX5
141,JOZ200POL,3664881.0,1409190.0,5009618.0,52.09783055555556,21.032341666666667,152.3,TRIMBLE NETR9
142,JOZE00POL,3664940.5,1409153.59,5009571.17,52.097272222222216,21.03153333333333,141.4,SEPT POLARX5
143,JPLM00USA,-2493304.6796,-4655215.1032,3565497.5918,34.20481944444445,-118.17322500000004,423.9843,SEPT POLARX5
144,JPRE00ZAF,5064032.232,2724721.054,-2752950.721,-25.732025000000004,28.28263333333333,1387.327,TRIMBLE NETR9
145,KARR00AUS,-2713833.2625,5303935.1096,-2269513.7461,-20.98142222222221,117.09719722222218,109.1,SEPT POLARX5
146,KAT100AUS,-4147413.8169,4581462.5899,-1573359.0814,-14.375994444444444,132.15327777777782,184.3,SEPT POLARX5
147,KERG00ATF,1406337.0,3918161.0,-4816168.0,-49.35146693888888,70.25552387944447,73.009,TRIMBLE ALLOY
148,KIR000SWE,2248123.504,865686.533,5886425.594,67.87757222222223,21.060233333333336,498.0,SEPT POLARX5
149,KIR800SWE,2248127.371,865685.468,5886424.301,67.87754166666667,21.060177777777785,498.0,TRIMBLE ALLOY
150,KIRI00KIR,-6327822.4922,785604.1018,149769.0463,1.3545805555555557,172.92289722222222,36.2,SEPT POLARX5
151,KIRU00SWE,2251420.999,862817.095,5885476.564,67.85734999999997,20.96844166666667,390.9,SEPT POLARX5TR
152,KIT300UZB,1944944.8306,4556652.418,4004326.1235,39.13476666666666,66.88544999999999,622.6,SEPT ASTERX4
153,KITG00UZB,1944879.726,4556783.77,4004205.937,39.1333864027778,66.88673816111113,620.631,SEPT POLARX5
154,KLSQ00GRL,1586032.319,-1932258.392,5848546.971,66.99560555555557,-50.62023611111111,353.2,SEPT POLARX5
155,KMNM00TWN,-2761837.8555,5110347.1476,2625150.8677,24.463822222222227,118.38857777777774,49.1,TRIMBLE ALLOY
