,Latitude,Longitude,Height,pr_level,stats,obs,snr,gaps,multipath,segment,TOPSIS
LROC00FRA,46.15893888888889,-1.2193194444444444,57.9,4,100,28329.0,45.35999999999999,174.2,0.15999999999999998,95,4
M0SE00ITA,41.89311388888889,12.493258333333332,120.6,11,100,30529.5,46.78,48.2,0.30599999999999994,71,3
MAC100AUS,-54.499527777777786,158.93583055555558,-6.8,1,90,32969.555555555555,41.8,110.88888888888889,0.3444444444444445,85,1
MADR00ESP,40.42916111111111,-4.249658333333333,829.5,2,100,27748.3,44.14000000000001,98.1,0.5860000000000001,15,6
MAL200KEN,-2.996,40.194,-20.4,1,100,34656.4,42.510000000000005,200.4,0.549,57,2
MAR600SWE,60.59514166666666,17.258522222222215,75.4,4,100,31931.8,42.74,152.4,0.26,82,2
MAR700SWE,60.59505277777776,17.258438888888897,74.3,11,100,31733.4,44.27,158.9,0.32599999999999996,82,6
MARS00FRA,43.27876944444445,5.353783333333333,61.7,5,100,26232.4,46.879999999999995,100.9,0.24000000000000005,1,5
MAS100ESP,27.7637388888889,-15.633277777777774,197.2,1,100,32257.6,44.18000000000001,88.5,0.441,83,1
MAT100ITA,40.6490611111111,16.70454444444444,534.5,4,100,27673.1,45.019999999999996,202.2,0.42000000000000004,71,4
MATG00ITA,40.649027777777775,16.704652777777778,537.0,11,100,29903.1,46.95,198.1,0.35300000000000004,71,5
MAW100ATA,-67.6048,62.870700000000014,59.2,4,100,35357.2,40.73,96.5,0.493,10,2
MAYG00MYT,-12.782053177222226,45.25815193666667,-16.35,11,100,31586.3,42.10000000000001,192.2,0.36900000000000005,5,3
MBAR00UGA,-0.6014690555555555,30.73787619444445,1337.6533,4,100,33928.2,41.980000000000004,39.9,0.345,57,1
MCHL00AUS,-26.35890277777777,148.14496111111114,534.6,5,100,30957.9,41.5,178.4,0.5120000000000001,18,5
MCIL00JPN,24.29009444444444,153.9786611111111,35.66,1,100,26603.3,42.23,48.4,0.261,84,1
MCM400ATA,-77.83834947222223,166.66932930555558,98.0222,4,100,35884.1,42.459999999999994,73.2,0.506,37,1
MDO100USA,30.68051111111112,-104.01499444444444,2004.5,2,100,31320.6,42.849999999999994,133.6,0.413,31,2
MELI00ESP,35.281219444444446,-2.9516416666666663,93.5,5,100,28332.6,47.080000000000005,96.9,0.20500000000000002,15,4
MERS00TUR,36.566388888888895,34.25585277777778,38.5,11,100,29260.7,45.09000000000001,195.1,0.23500000000000001,49,4
MET300FIN,60.217455555555546,24.3945,79.2,11,100,34423.5,43.39999999999999,58.0,0.383,82,5
METG00FIN,60.24196666666666,24.384175,59.7,2,100,33466.1,42.660000000000004,226.7,0.33899999999999997,82,4
MGUE00ARG,-35.77735000000001,-69.39792777777778,1554.15,5,100,31085.8,44.71,71.8,0.33399999999999996,2,2
MIKL00UKR,46.972788888888886,31.97282777777778,94.7,11,100,31042.9,45.46,114.4,0.261,76,4
MIZU00JPN,39.13516944444444,141.13282777777778,117.0,2,100,30881.4,41.54,71.3,0.24699999999999997,0,1
MKEA00USA,19.80135661111112,-155.45634533333336,3754.7,1,100,30057.9,43.13,85.9,0.38500000000000006,16,1
MOBS00AUS,-37.82940277777778,144.97534166666668,40.6,4,100,29460.3,41.55,167.3,0.325,98,2
MRC100USA,38.49909965000001,282.6293504416668,27.2003,2,100,28293.0,43.87,120.8,0.4,7,4
MRO100AUS,-26.69663333333333,116.63749444444444,354.1,5,100,30939.9,40.35,198.6,0.7089999999999999,4,6
MSSA00JPN,36.14035277777777,138.35230833333335,1626.576,11,100,27323.3,42.38,85.9,0.6519999999999999,0,8
NABG00NOR,78.94309444444444,11.857313888888893,42.9,11,100,33699.3,42.739999999999995,237.3,0.387,23,4
NANO00CAN,49.29480000000001,-124.08649999999996,6.0,4,100,32807.7,42.33,123.3,0.438,3,7
NICO00CYP,35.14098888888888,33.396449999999994,190.1,4,100,29366.6,47.77,95.9,0.194,49,1
NKLG00GAB,0.3539077105555556,9.672126268888888,31.496,1,100,35165.3,41.39,87.4,0.275,59,1
NLIB00USA,41.771591666666666,-91.57489166666667,207.0648,2,100,26338.2,41.71,495.9,0.639,88,1
NNOR00AUS,-31.04873888888889,116.19271388888887,234.984,4,100,27843.7,41.019999999999996,138.8,0.393,4,5
NOT100ITA,36.87610833333333,14.989808333333333,126.2,2,100,26694.0,45.62,161.2,0.31399999999999995,71,2
NRC100CAN,45.45420000000001,-75.6238,82.5,4,100,28595.0,43.620000000000005,84.6,0.483,7,5
NTUS00SGP,1.3458,103.6799,79.0,5,100,23307.8,43.69,47.5,0.189,43,1
NYA100NOR,78.92955277777777,11.865294444444444,83.7,2,100,33989.5,43.60000000000001,78.6,0.44600000000000006,23,1
NYA200NOR,78.93033333333332,11.858638888888892,81.5,11,100,35083.3,42.23,86.4,0.367,23,3
NYAL00NOR,78.92958055555556,11.86509444444444,79.0,4,100,33967.5,43.60000000000001,84.9,0.437,23,2
OBE400DEU,48.08480555555556,11.277855555555556,650.5,11,100,31486.4,42.49999999999999,65.4,0.33299999999999996,1,6
OHI300ATA,-63.32109472222221,-57.90138527777776,32.15,3,100,31365.9,48.04,180.7,0.213,20,1
ONS100SWE,57.39533055555553,11.92453611111111,44.4,11,100,30482.6,44.0,140.1,0.332,92,4
ONSA00SWE,57.39529722222221,11.92551388888889,45.5,2,100,31923.5,42.13,134.1,0.28700000000000003,92,1
OUS200NZL,-45.869475,170.51093333333338,26.1,4,100,29986.1,42.45,85.4,0.253,6,1
PADO00ITA,45.41115,11.896055555555556,64.7,11,100,27741.5,46.230000000000004,102.5,0.24800000000000005,1,7
PALM00ATA,-64.77508980555557,-64.05112180555555,31.2394,11,100,35520.8,42.72,70.3,0.44299999999999995,20,2
PARK00AUS,-32.998761111111115,148.26461388888896,397.4,2,100,27137.6,40.80999999999999,215.7,0.4200000000000001,18,3
PDEL00PRT,37.74774722222222,-25.662766666666663,110.8,2,100,27627.6,42.94,239.9,0.26300000000000007,36,1
PICL00CAN,51.47980833333334,-90.161975,315.1,5,100,28166.2,43.94,44.3,0.336,45,1
PIE100USA,34.301505805555564,-108.11892736111108,2347.7109,1,100,29550.8,42.83999999999999,142.2,0.417,31,1
PIMO00PHL,14.635719444444442,121.0777305555556,95.532,5,100,25501.8,41.26,76.4,0.5249999999999999,63,2
PNGM00PNG,-2.0432222222222216,147.36600000000004,116.3,5,90,32634.222222222223,40.13333333333334,158.55555555555554,0.6599999999999999,81,1
POAL00BRA,-30.074041666666663,-51.11976388888888,76.75,5,100,29115.3,43.510000000000005,104.2,0.639,14,4
POHN00FSM,6.959944444444447,158.21011666666664,90.7,4,100,27915.8,40.17,212.7,0.725,27,1
POL200KGZ,42.679800000000014,74.69430000000001,1714.2,1,100,27586.4,43.75,34.0,0.28200000000000003,69,1
POLV00UKR,49.60261388888888,34.54292777777777,178.1,4,100,30757.2,45.60000000000001,113.4,0.357,76,2
POTS00DEU,52.379297222222206,13.066091666666669,144.4,2,100,33984.6,42.18,97.3,0.378,46,3
POVE00BRA,-8.709336583333332,-63.89631977777778,119.6,5,100,35841.1,42.529999999999994,70.6,0.7530000000000001,94,1
PRDS00CAN,50.8713,-114.29350000000004,1247.9,4,100,28469.2,44.599999999999994,93.5,0.39,3,6
PTGG00PHL,14.535402222222222,121.04126540833336,86.944,3,100,31144.1,39.62,140.2,0.311,63,1
QAQ100GRL,60.71526388888888,-46.04776111111111,110.4,4,100,31962.9,42.81,74.9,0.32899999999999996,73,1
QUIN00USA,39.97455277777778,-120.94442777777776,1105.7651,2,100,27724.1,43.739999999999995,49.7,0.362,56,1
RABT00MAR,33.99810277777778,-6.85428888888889,90.1,4,100,31289.4,43.120000000000005,42.7,0.302,15,3
RAEG00PRT,36.985700000000016,-25.126388888888886,297.9,11,90,28646.0,43.388888888888886,301.55555555555554,0.2111111111111111,36,3
REDU00BEL,50.0015,5.144880555555557,369.9,5,100,28556.4,43.33999999999999,158.3,0.495,38,8
REUN00REU,-21.208333333333336,55.571666666666665,1558.4,1,100,27905.6,42.83,117.6,0.28700000000000003,79,1
REYK00ISL,64.1387888888889,-21.955491666666667,93.0,2,100,33779.1,47.96,51.3,0.257,53,1
RGDG00ARG,-53.78583853972221,-67.75152794388892,32.364,11,100,33526.666666666664,42.588888888888896,92.66666666666667,0.31555555555555553,50,3
RIGA00LVA,56.94861944444444,24.058772222222224,34.7,2,100,28852.8,47.10000000000001,204.4,0.329,82,3
RIO200ARG,-53.78547222222221,-67.75111944444447,32.0,1,100,34589.7,42.29,85.1,0.25199999999999995,50,1
ROAG00ESP,36.46335,-6.206274999999999,83.2,11,100,27186.5,45.13000000000001,63.9,0.20600000000000002,15,5
SALU00BRA,-2.593458333333334,-44.21247777777777,18.9,4,100,29616.3,42.39,343.6,0.818,62,3
SAMO00WSM,-13.84921111111111,-171.73841944444445,76.9,5,100,31915.1,41.36,123.6,0.40499999999999997,32,3
SANT00CHL,-33.15028780555556,-70.66855347222221,723.0746,1,100,30167.3,43.05,82.5,0.34900000000000003,2,1
SASK00CAN,52.19625555555555,-106.39835277777782,580.0,5,100,30105.1,45.81,51.6,0.34299999999999997,86,1
SAVO00BRA,-12.939246833333332,-38.43225372222221,76.3,4,100,34262.3,42.5,154.0,0.696,93,1
SCH200CAN,54.832100000000025,-66.83259999999999,498.2,4,100,28875.5,44.61,112.3,0.39,75,1
SCOR00GRL,70.48533333333332,-21.95033611111111,128.5,1,100,32213.6,43.14,100.1,0.31299999999999994,53,2
SCRZ00BOL,-17.796791666666675,-63.159677777777766,442.2,5,100,27066.2,44.31,390.1,0.572,33,3
SCUB00CUB,20.012066666666662,-75.76231388888887,21.9,2,100,25031.8,45.33,370.7,0.531,99,1
SEY200SYC,-4.673651247222222,55.479453563888896,538.8156,5,100,23731.6,42.989999999999995,85.3,0.594,29,2
SEYG00SYC,-4.678731829444446,55.53063053138892,-37.085,2,100,32989.6,41.519999999999996,157.8,0.258,29,1
SFER00ESP,36.46434444444446,-6.205647222222223,84.1,2,100,29626.5,46.81,57.8,0.16699999999999998,15,1
SGOC00LKA,6.892075000000001,79.87417777777779,-78.5,2,100,25000.666666666668,41.0,48.44444444444444,0.37,24,1
SGPO00USA,36.60418333333333,-97.48482222222223,290.2,11,100,31807.5,42.83,211.1,0.31199999999999994,88,2
SIN100SGP,1.3429811111111107,103.67943833333337,92.54,11,100,34971.3,41.919999999999995,257.2,0.642,43,3
SOD300FIN,67.4207861111111,26.38928611111111,300.8,11,100,34589.9,43.5,183.4,0.41500000000000004,47,5
SPT000SWE,57.71495555555554,12.891344444444442,219.9,5,100,29709.6,42.79,183.0,0.32999999999999996,92,3
SPTU00BRA,-21.92911666666667,-50.49236944444444,508.78,11,100,30848.1,42.480000000000004,185.2,0.758,14,6
STFU00USA,37.42690694444445,-122.17329083333334,20.41,11,100,29934.5,44.269999999999996,46.4,0.5740000000000001,56,4
STHL00GBR,-15.94253386111111,-5.667345444444446,453.29,1,90,31802.11111111111,42.32222222222222,53.55555555555556,0.3222222222222222,51,1
STJ300CAN,47.59543514444445,-52.67830776111112,154.515,3,100,30708.5,44.67,145.7,0.29799999999999993,26,2
STJO00CAN,47.59523888888889,-52.67774722222223,152.8,1,100,27061.1,44.239999999999995,60.7,0.37899999999999995,26,1
STK200JPN,43.528644444444446,141.8448194444445,118.54,2,100,25869.3,42.82,81.7,0.29400000000000004,0,3
STPM00SPM,46.7778237888889,-56.16824438055557,0.473,11,100,30039.7,43.33,82.5,0.433,26,3
STR100AUS,-35.315525,149.0100555555555,799.9,2,90,29934.0,40.94444444444444,149.44444444444446,0.29000000000000004,18,1
STR200AUS,-35.31615277777779,149.01015833333335,802.5,3,90,30516.777777777777,42.34444444444444,170.66666666666666,0.7288888888888889,18,4
SULP00UKR,49.83558888888888,24.01448888888889,370.5,5,100,31055.0,43.459999999999994,115.7,0.746,76,3
SUTH00ZAF,-32.38021083333334,20.81046230555556,1799.7659,1,100,31281.5,42.73,102.7,0.357,17,1
SUTM00ZAF,-32.3814361111111,20.810911111111107,1797.6,4,100,32079.7,42.39999999999999,138.8,0.312,17,2
SVTL00RUS,60.53285555555557,29.78087222222222,76.8,2,100,31757.9,43.970000000000006,137.2,0.429,12,1
SYDN00AUS,-33.78087222222222,151.15038333333334,85.6,4,100,26980.7,40.08,484.7,0.632,18,6
SYOG00ATA,-69.00699999999998,39.58370000000001,50.0902,1,100,32211.1,42.879999999999995,79.6,0.28300000000000003,65,1
TASH00UZB,41.32805,69.29556666666669,439.7,4,100,28930.9,42.17,73.9,0.2750000000000001,11,2
