id,#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName
297,SYDN00AUS,-4648240.8542,2560636.4459,-3526317.7896,-33.781,151.15,85.98700000000001,SEPT POLARX5TR
298,SYOG00ATA,1766207.8686,1460290.3801,-5932297.7652,-69.007,39.584,50.538999999999994,TRIMBLE ALLOY
299,TASH00UZB,1695945.1994,4487138.5684,4190140.6931,41.328,69.296,440.12300000000005,SEPT ASTERX4
300,THTG00PYF,-5246414.0,-3077260.0,-1913842.0,-17.577,-149.606,97.10700000000001,SEPT POLARX5TR
301,THU200GRL,538093.193,-1389088.13,6180979.36,76.53699999999999,-68.825,36.674,SEPT POLARX5
302,TID100AUS,-4460996.9496,2682557.0840000003,-3674442.6322,-35.399,148.98,665.7289999999999,SEPT POLARX5
303,TIT200DEU,3993787.1,450204.2,4936131.8,51.035,6.432,156.532,JAVAD TRE_3 DELTA
304,TLSE00FRA,4627851.899,119638.546,4372993.537,43.56100000000001,1.4809999999999999,207.62599999999998,TRIMBLE NETR9
305,TLSG00FRA,4628684.7869,119997.1258,4372110.3365,43.55,1.485,209.18,SEPT POLARX5TR
306,TONG00TON,-5930303.7231,-500147.2009,-2286366.2029,-21.145,-175.179,56.732,SEPT POLARX5
307,TOPL00BRA,4174345.6,-4690236.73,-1118921.27,-10.171,-48.331,256.92900000000003,TRIMBLE NETR9
308,TOW200AUS,-5054583.3956,3275504.1093,-2091538.4702,-19.269000000000002,147.056,88.50299999999999,SEPT POLARX5
309,TRO100NOR,2102929.0,721619.0,5958196.0,69.663,18.94,138.415,TRIMBLE NETR9
310,TSK200JPN,-3957184.1089999997,3310231.7260000003,3737703.9560000002,36.106,140.08700000000002,70.35,TRIMBLE ALLOY
311,TSKB00JPN,-3957199.24,3310199.668,3737711.708,36.106,140.08700000000002,67.67699999999999,TRIMBLE ALLOY
312,TUVA00TUV,-6307543.7662,88454.3221,-939278.1193,-8.525,179.197,38.826,SEPT POLARX5
313,TWTF00TWN,-2994425.04,4951312.24,2674498.6,24.954,121.164,203.52900000000002,SEPT POLARX4TR
314,UCAL00CAN,-1641945.2,-3664804.1,4940009.3,51.08,-114.134,1119.238,TRIMBLE NETR9
315,UCLU00CAN,-2440669.042,-3416437.062,4785136.848999999,48.926,-125.542,10.487,SEPT POLARX5
316,UFPR00BRA,3763751.6760000004,-4365113.8613,-2724404.579,-25.448,-49.231,926.179,TRIMBLE NETR9
317,ULAB00MNG,-1257408.9234,4099404.3974,4707992.6715,47.865,107.052,1576.101,JAVAD TRE_3
318,UNB300CAN,1761288.2,-4078238.6,4561417.8,45.95,-66.642,23.32,TRIMBLE ALLOY
319,UNBD00CAN,1761305.9,-4078238.57,4561411.35,45.95,-66.641,23.545,JAVAD TRE_G2T DELTA
320,UNBN00CAN,1761288.2,-4078238.6,4561417.8,45.95,-66.642,23.32,NOV OEM6
321,UNX200AUS,-4644465.21,2549952.76,-3538929.46,-33.918,151.232,87.491,JAVAD TRE_G3TH DELTA
322,UNX300AUS,-4644465.21,2549952.76,-3538929.46,-33.918,151.232,87.491,SEPT POLARX4
323,URAL00RUS,1716013.966,3047281.6969999997,5316302.551,56.838,60.615,278.057,TRIMBLE R9S
324,URUM00CHN,193030.2318,4606851.3319999995,4393311.5615,43.808,87.601,859.352,JAVAD TRE_3
325,USCL00CHL,1762489.8869999999,-5027632.74,-3496009.235,-33.45,-70.681,570.606,SEPT POLARX5
326,USN700USA,1112162.138,-4842854.666999999,3985497.066,38.921,-77.066,59.346000000000004,SEPT POLARX5TR
327,USN800USA,1112162.138,-4842854.666999999,3985497.066,38.921,-77.066,59.346000000000004,SEPT POLARX5TR
328,USN900USA,1112162.138,-4842854.666999999,3985497.066,38.921,-77.066,59.346000000000004,NOV OEM6
329,USP100FJI,-6060627.2843,164379.897,-1974093.2186,-18.149,178.446,70.96600000000001,PANDA PD51A
330,USUD00JPN,-3855263.0361,3427432.5571,3741020.2929,36.133,138.362,1509.039,SEPT POLARX5
331,UTQI00USA,-1880399.9215,-813136.6979,6019921.5735,71.32300000000001,-156.615,12.565,JAVAD TR_G3TH
332,VACS00MUS,3215946.33,5047448.47,-2198719.6,-20.297,57.497,420.75,SEPT POLARX5
333,VILL00ESP,4849833.874,-335049.255,4116014.809,40.444,-3.952,647.835,SEPT POLARX5
334,VIS000SWE,3246470.561,1077900.313,5365277.902,57.653999999999996,18.367,80.218,SEPT POLARX5
335,VNDP00USA,-2678090.1164,-4525437.3954,3597431.7369,34.556,-120.616,-11.085,SEPT POLARX5
336,VOIM00MDG,4054014.146,4316070.228999999,-2365224.017,-21.906,46.793,1163.786,JAVAD TR_G3TH
337,WARK00NZL,-5115333.2299,477886.9079,-3767147.473,-36.434,174.66299999999998,111.71,TRIMBLE ALLOY
338,WARN00DEU,3658785.6,784471.1,5147870.7,54.17,12.100999999999999,51.174,JAVAD TRE_3 DELTA
339,WGTN00NZL,-4777269.46,434270.155,-4189484.4910000004,-41.323,174.80599999999998,26.486,TRIMBLE ALLOY
340,WHIT00CAN,-2218337.85,-2201205.06,5543057.57,60.751000000000005,-135.222,1427.808,SEPT POLARX5
341,WILL00CAN,-2084258.016,-3313872.98,5019853.081,52.237,-122.168,1096.093,SEPT POLARX5
342,WIND00NAM,5633708.7802,1732017.696,-2433985.8026,-22.575,17.089000000000002,1735.0829999999999,JAVAD TRE_3
343,WROC00POL,3835751.0,1177249.0,4941605.0,51.113,17.062,180.697,LEICA GR50
344,WSRT00NLD,3828739.0,443305.0,5064887.0,52.915,6.605,86.42399999999999,SEPT POLARX5
345,WTZ300DEU,4075535.3,931822.185,4801608.915,49.145,12.879000000000001,663.837,JAVAD TRE_G3TH DELTA
346,WTZR00DEU,4075580.685,931853.66,4801568.054,49.144,12.879000000000001,666.462,LEICA GR50
347,WTZS00DEU,4075535.3,931822.185,4801608.915,49.145,12.879000000000001,663.837,SEPT POLARX5TR
348,WTZZ00DEU,4075579.269,931853.281,4801569.136,49.144,12.879000000000001,666.322,JAVAD TRE_3 DELTA
349,WUH200CHN,-2267749.0,5009154.0,3221290.0,30.531999999999996,114.35700000000001,25.541,JAVAD TRE_3
