#------------------------------------------------------------------------
-------
# LIST OF STATIONS PROPOSED FOR IGS REPRO3, SORTED BY PRIORITY LEVELS
#------------------------------------------------------------------------
-------
#
# - pr : priority level [1-11]
# - code : 4-char station ID
# - net : network ID
#
# Priority levels (number of stations in each level):
# - 1 (66) : A revised/simplified version of the IGS14 core network. The
aim of
# this minimalist selection of well-distributed RF stations
is
# twofold: a) allow the alignment of the AC repro3 solutions
to
# IGS14, and b) ensure an overlap between the different AC
solutions
# necessary for their combination. Note that some priority 1
# stations are meant to be used one after the other (e.g.,
CHAT then
# CHTI).
# - 2 (103): GNSS stations for which a local tie to a DORIS, SLR or VLBI
# station is available. Those are of course fundamental to
the
# construction of ITRF2020. In case several GNSS stations are
tied
# to the same DORIS, SLR or VLBI station, only one of them
was given
# priority 2, while the others were given priority 3.
# - 3 (52) : a) Remaining GNSS stations for which a local tie to a
DORIS, SLR
# or VLBI station is available. Those are important since
they bring
# redundancy at some co-location sites.
# b) GNSS stations co-located, but not tied to a DORIS, SLR
or VLBI
# station. Those are important since they bring at least
inter-
# technique velocity constraints at co-location sites where
no local
# tie is available.
# - 4 (122): Remaining IGS14 stations. Useful to allow better alignments
of the
# AC repro3 solutions to IGS14 than with the priority 1
stations
# only. Also natural good candidates for the next IGS RF.
# - 5 (86) : Other IGS stations that would be good candidates for the
next IGS
# RF, i.e. with long, stable time series, and either located
in
# areas not well covered by IGS14 or deemed useful by APREF,
EUREF,
# SIRGAS or SONEL.
# - 6 (10) : Ten fundamental CORS stations of special interest to NGS.
# - 7 (66) : A handpicked selection of stations proposed by APREF,
EUREF, NGS,
# SIRGAS and SONEL, which nicely complement the geographical
# distribution of the higher priority stations.
# - 8 (28) : Other non-IGS stations with nice time series, located in
areas
# not well covered by higher priority stations.
# - 9 (324): The remaining stations proposed by APREF, BKG, EUREF, NGS,
NRCAN,
# SIRGAS and SONEL.
# - 10 (65) : Even more (low-priority) Australian stations proposed by
APREF.
# - 11 (290): All remaining IGS stations. Those are of little interest
from the
# RF point of view. However, having them included in repro3
would
# allow to fulfill the recommendation made by the
Infrastructure
# Committee at the IGS 2017 Workshop "to provide [...] weekly
# positions for ALL IGS network stations", at least over the
repro3
# period.
#
# Links to site logs of each network:
# - apref : ftp://ftp.ga.gov.au/geodesy-outgoing/gnss/logs
# - epn : ftp://epncb.oma.be/pub/station/log
# - geonet : ftp://ftp.geonet.org.nz/gps/sitelogs/logs
# - gref : ftp://igs.bkg.bund.de/GREF/station
# - igs : ftp://igs.org/pub/station/log
# - igsold : ftp://igs.org/pub/station/oldlog
# - ngs : ftp://www.ngs.noaa.gov/cors/station_log
# - nrcan : ftp://rtopsdata1.geod.nrcan.gc.ca/gps/station_logs
# - oafa : http://ramsac.ign.gob.ar/ver_formulario_igs.php?e=T0FGQQ==
# - sirgas : ftp://ftp.sirgas.org/pub/gps/DGF/station/log
# - sonel : ftp://ftp.sonel.org/meta/gpslog
# - ucsd : ftp://garner.ucsd.edu/pub/docs/station_logs
# - unavco : ftp://data-out.unavco.org/pub/logs
#
# Links to RINEX files of each network:
# - apref : ftp://ftp.ga.gov.au/geodesy-outgoing/gnss/data/daily
# - epn : ftp://ftp.epncb.oma.be/pub/obs
# - geonet : ftp://ftp.geonet.org.nz/gps
# - gref : ftp://igs.bkg.bund.de/GREF/obs
# - igs : ftp://cddis.gsfc.nasa.gov/pub/gps/data/daily
# ftp://igs.ensg.ign.fr/pub/igs/data/
# ftp://gssc.esa.int/gnss/data
# ftp://lox.ucsd.edu/pub/rinex
# ftp://nfs.kasi.re.kr/
# ftp://igs.gnsswhu.cn/
# - igsold : ftp://cddis.gsfc.nasa.gov/pub/gps/data/daily
# ftp://igs.ensg.ign.fr/pub/igs/data/
# ftp://gssc.esa.int/gnss/data
# ftp://lox.ucsd.edu/pub/rinex
# ftp://nfs.kasi.re.kr/
# ftp://igs.gnsswhu.cn/
# - ngs : ftp://www.ngs.noaa.gov/cors/rinex
# - nrcan : ftp://rtopsdata1.geod.nrcan.gc.ca/gps/data/gpsdata
# - oafa : ftp://ftp.unsj.edu.ar/agrimensura/EstacionPermanente OAFA
# - sirgas : ftp://igs.ign.fr/pub/igs/data
# - sonel : ftp://ftp.sonel.org/gps/data
# - ucsd : ftp://garner.ucsd.edu/pub/rinex
# - unavco : ftp://data-out.unavco.org/pub
#
#------------------------------------------------------------------------
  pr  code   net       lat(deg)    lon(deg) 
  2   GRAZ   igs        47.0671     15.4935 
  2   GUUG   igs        13.4332    144.8027 
  2   HARB   igs       -25.8870     27.7072 
  2   HERT   igs        50.8675      0.3344 
  2   HOB2   igs       -42.8047    147.4387 
  2   IRKJ   igs        52.2190    104.3162 
  2   JFNG   igs        30.5156    114.4910 
  2   KAT1   igs       -14.3760    132.1533 
  2   KGNI   igs        35.7103    139.4881 
  2   KIT3   igs        39.1348     66.8854 
  2   KOSG   igsold     52.1784      5.8096 
  2   KOUG   igs         5.0985    -52.6398 
  2   KSMV   igs        35.9554    140.6577 
  2   KSTU   igsold     55.9932     92.7938 
  2   KUNM   igsold     25.0295    102.7972 
  2   LHAZ   igs        29.6572     91.1040 
  2   LMMF   igs        14.5948    -60.9962 
  2   MADR   igs        40.4292     -4.2497 
  2   MALD   igsold      4.1887     73.5263 
  2   MANA   igs        12.1489    -86.2490 
  2   MARN   sonel     -46.8765     37.8610 
  2   MAUI   igs        20.7067   -156.2570 
  2   MDO1   igs        30.6805   -104.0150 
  2   MEDI   igs        44.5200     11.6468 
  2   METG   igs        60.2420     24.3842 
  2   METS   igs        60.2175     24.3953 
  2   MIZU   igs        39.1352    141.1328 
  2   MONP   igs        32.8919   -116.4224 
  2   MRC1   igs        38.4991    -77.3706 
  2   NLIB   igs        41.7716    -91.5749 
  2   NOT1   igs        36.8761     14.9898 
  2   NYA1   igs        78.9296     11.8653 
  2   OAFA   oafa      -31.5087    -68.6233 
  2   ONSA   igs        57.3953     11.9255 
  2   OWMG   igs       -44.0243   -176.3688 
  2   OWNG   igsold    -44.0249   -176.3683 
  2   PARK   igs       -32.9988    148.2646 
  2   PDEL   igs        37.7477    -25.6628 
  2   POTS   igs        52.3793     13.0661 
  2   PTAG   igs        14.5354    121.0408 
  2   QUIN   igs        39.9746   -120.9444 
  2   REYK   igs        64.1388    -21.9555 
  2   RIGA   igs        56.9486     24.0588 
  2   ROTH   igs       -67.5714    -68.1258 
  2   SCUB   igs        20.0121    -75.7623 
  2   SEJN   igs        36.5222    127.3032 
  2   SEY1   igsold     -4.6737     55.4794 
  2   SEYG   igs        -4.6787     55.5306 
  2   SFER   igs        36.4643     -6.2056 
  2   SGOC   igs         6.8921     79.8742 
  2   SHAO   igs        31.0996    121.2004 
  2   SMST   igs        33.5779    135.9370 
  2   SOFI   igs        42.5561     23.3947 
  2   SOLA   igsold     24.9107     46.4006 
  2   STK2   igs        43.5286    141.8448 
  2   STR1   igs       -35.3155    149.0100 
  2   SVTL   igs        60.5329     29.7809 
  2   TABL   igs        34.3818   -117.6783 
  2   TAHI   igsold    -17.5765   -149.6094 
  2   THU3   igsold     76.5370    -68.8250 
  2   TLSE   igs        43.5607      1.4809 
  2   TOUL   igsold     43.5608      1.4808 
  2   TSKB   igs        36.1057    140.0875 
  2   URUM   igs        43.8079     87.6007 
  2   VNDP   igs        34.5563   -120.6164 
  2   WARK   igs       -36.4344    174.6628 
  2   WES2   igs        42.6133    -71.4933 
  2   WTZR   igs        49.1442     12.8789 
  2   WUHN   igs        30.5317    114.3573 
  2   YEBE   igs        40.5249     -3.0886 
  2   YSSK   igs        47.0297    142.7167 
  2   ZECK   igs        43.7884     41.5651 
  2   ZIMM   igs        46.8771      7.4653 
  3   AB07   ngs        55.3493   -160.4768 
  3   AB11   ngs        64.5645   -165.3734 
  3   ALBH   igs        48.3898   -123.4875 
  3   ANKR   igs        39.8875     32.7586 
  3   AREG   igs       -16.4654    -71.4929 
  3   BRMU   igs        32.3704    -64.6963 
  3   BRST   igs        48.3805     -4.4966 
  3   CASA   igsold     37.6446   -118.8967 
  3   CHPG   igs       -22.6823    -45.0024 
  3   CIBG   igs        -6.4904    106.8492 
  3   EFBG   gref       50.5253      6.8819 
  3   GODN   igs        39.0212    -76.8271 
  3   GODS   igs        39.0205    -76.8273 
  3   GODZ   igs        39.0217    -76.8268 
  3   GRAC   igs        43.7545      6.9208 
  3   HERS   igs        50.8673      0.3362 
  3   HOBU   epn        53.0506     10.4763 
  3   HOFN   igs        64.2673    -15.1979 
  3   ISHI   igs        36.2088    140.2190 
  3   IUCO   ngs        39.1741    -86.5064 
  3   JPLM   igs        34.2048   -118.1732 
  3   KATC   sonel      35.9515     27.7808 
  3   KBRC   unavco     34.3985   -119.0082 
  3   KITG   igs        39.1334     66.8867 
  3   KOKV   igs        22.1263   -159.6649 
  3   KRGG   igs       -49.3515     70.2555 
