sys_name,PRN,ABMK00GLP,ABPO00MDG,ACRG00GHA,AGGO00ARG,AIRA00JPN,AJAC00FRA,SDDA00GHA
E,E04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E07,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E08,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E09,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E14,0.0,1.0,1.0,1.0,1.0,0.0,1.0
E,E15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E18,0.0,1.0,1.0,1.0,1.0,0.0,1.0
E,E19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,E24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,E33,1.0,1.0,1.0,0.0,1.0,1.0,1.0
E,E36,1.0,1.0,1.0,0.0,1.0,1.0,1.0
C,C01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,C02,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,C03,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,C04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,C05,0.0,1.0,1.0,0.0,0.0,1.0,1.0
C,C06,0.0,1.0,0.0,0.0,0.0,1.0,0.0
