,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,5X,47.2,12384.0,40.0,0.0,,,,,49.0,10202.0,43.0,0.0,,,,,49.4,9817.0,42.0,0.0,48.3,10665.0,49.0,0.0,,,,,,,,,,,,,49.4,10541.0,85.0,0.0,49.0,11155.0,107.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,48.9,10616.0,85.0,0.0,,,,,,,,,,,,,50.7,9091.0,75.0,0.0,48.7,11947.0,105.0,0.0,48.9,10983.0,116.0,0.0,,,,,,,,,48.8,11832.0,116.0,0.0,47.5,11149.0,93.0,0.0,47.8,10066.0,188.0,0.0,,,,,,,,,48.2,10580.0,57.0,0.0,,,,,48.9,8829.0,30.0,0.0,,,,
J,1C,43.5,1014.0,2.0,0.41,,,,,,,,,40.7,2880.0,0.0,0.16,,,,,37.9,537.0,4.0,0.72,47.3,2880.0,0.0,0.19,47.4,2880.0,0.0,0.23,,,,,45.8,2868.0,2.0,0.33,,,,,38.9,820.0,1.0,0.39,,,,,,,,,,,,,,,,,44.2,2518.0,0.0,0.25,43.9,2876.0,1.0,0.38,,,,,42.8,2880.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,2880.0,0.0,0.19,,,,,,,,,,,,,,,,,40.0,2880.0,0.0,0.2
J,1Z,43.2,1005.0,5.0,0.42,,,,,,,,,,,,,,,,,37.5,518.0,13.0,0.84,,,,,,,,,,,,,45.2,2868.0,2.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,2875.0,2.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,2X,43.3,1005.0,5.0,0.39,,,,,,,,,,,,,,,,,32.5,495.0,13.0,0.97,,,,,,,,,,,,,44.9,2868.0,2.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,2875.0,2.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,5X,46.4,1005.0,5.0,0.0,,,,,,,,,,,,,,,,,37.7,522.0,12.0,0.0,,,,,,,,,,,,,49.6,2868.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,2875.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,6X,45.3,1005.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,2868.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,2875.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,1C,43.9,26334.0,69.0,1.06,44.5,22220.0,133.0,1.28,45.0,20766.0,37.0,1.51,42.9,20923.0,103.0,1.73,45.0,23375.0,81.0,1.54,45.5,24674.0,108.0,1.26,45.8,22076.0,79.0,1.69,46.3,21339.0,30.0,1.26,46.2,26037.0,50.0,1.03,44.9,22597.0,89.0,1.36,43.0,21874.0,346.0,1.79,45.7,25925.0,181.0,0.93,42.5,22423.0,180.0,1.7,41.1,23025.0,121.0,1.79,46.1,22245.0,92.0,1.18,46.2,22773.0,49.0,1.16,39.3,20135.0,91.0,1.25,43.5,22810.0,163.0,1.76,45.6,22659.0,91.0,1.18,44.7,20123.0,55.0,1.35,46.4,25647.0,60.0,1.02,45.2,20348.0,126.0,1.71,43.7,22533.0,120.0,1.59,43.9,20145.0,237.0,1.84,45.2,22312.0,115.0,1.09,46.2,26345.0,50.0,0.87,44.5,22114.0,131.0,1.66,41.9,19653.0,127.0,1.94,42.4,20261.0,310.0,1.43,46.4,20550.0,57.0,1.93,44.7,20662.0,163.0,1.39,45.1,21162.0,73.0,1.5,46.5,24736.0,47.0,0.96,43.8,16205.0,72.0,2.02,39.1,21269.0,43.0,1.33
R,1P,42.5,26315.0,79.0,1.09,,,,,43.6,20757.0,41.0,1.46,,,,,43.5,23357.0,81.0,1.35,44.0,24653.0,113.0,1.15,,,,,,,,,,,,,43.4,22579.0,96.0,1.28,41.7,21812.0,350.0,1.62,,,,,,,,,,,,,,,,,,,,,,,,,42.1,22788.0,168.0,1.63,,,,,,,,,,,,,43.8,20335.0,123.0,1.53,42.4,22516.0,123.0,1.47,42.5,20108.0,232.0,1.52,,,,,,,,,43.1,22099.0,127.0,1.5,40.7,19647.0,129.0,1.85,41.1,20227.0,319.0,1.35,,,,,,,,,43.7,21149.0,75.0,1.42,,,,,42.4,16189.0,73.0,1.97,,,,
R,2C,40.9,26267.0,92.0,1.08,41.1,21535.0,103.0,1.19,40.8,20742.0,44.0,1.45,41.7,19712.0,108.0,1.69,40.8,23287.0,83.0,1.41,40.3,24585.0,136.0,1.17,40.6,21695.0,211.0,1.3,42.0,21248.0,46.0,1.16,41.3,25793.0,146.0,0.97,40.7,22551.0,104.0,1.26,39.9,21664.0,335.0,1.61,42.0,25466.0,175.0,0.93,39.2,20537.0,190.0,1.84,39.9,22299.0,165.0,1.75,41.3,21791.0,101.0,1.17,40.8,22361.0,104.0,1.22,41.0,20283.0,50.0,1.23,39.8,22746.0,167.0,1.64,40.3,22114.0,148.0,1.08,41.2,19771.0,78.0,1.29,,,,,41.2,20241.0,124.0,1.63,39.5,22451.0,119.0,1.43,39.9,19962.0,229.0,1.51,41.8,21650.0,99.0,0.98,41.3,26135.0,118.0,0.82,40.3,22036.0,139.0,1.65,39.3,19569.0,138.0,1.85,39.6,19925.0,381.0,1.33,41.7,19267.0,42.0,1.83,41.4,20010.0,151.0,1.44,41.3,21097.0,81.0,1.42,43.1,24617.0,61.0,0.9,40.4,16163.0,77.0,2.02,39.0,20877.0,52.0,1.38
R,2P,40.3,26152.0,109.0,0.92,41.5,21366.0,82.0,1.05,40.1,20672.0,55.0,1.3,42.6,16811.0,32.0,1.66,40.2,23092.0,116.0,1.34,39.8,24405.0,160.0,1.03,40.2,21793.0,188.0,1.35,41.6,21244.0,43.0,1.19,40.9,25786.0,154.0,0.92,40.1,22458.0,136.0,1.19,39.4,21456.0,324.0,1.35,42.4,25265.0,124.0,0.92,39.6,20232.0,148.0,1.43,40.4,21908.0,117.0,1.58,41.6,21688.0,96.0,0.98,41.2,22176.0,122.0,1.1,41.3,20200.0,35.0,1.12,39.3,22603.0,188.0,1.62,39.9,22185.0,128.0,1.08,41.6,19585.0,70.0,1.24,41.5,25462.0,151.0,0.9,40.7,20104.0,116.0,1.34,39.0,22163.0,161.0,1.47,39.4,19743.0,235.0,1.41,42.2,21475.0,92.0,0.97,41.0,26113.0,120.0,0.83,39.7,21870.0,157.0,1.57,38.4,19306.0,161.0,1.68,39.2,19508.0,386.0,1.5,42.2,18383.0,32.0,1.58,41.8,19811.0,104.0,1.36,40.7,20964.0,101.0,1.29,42.7,24620.0,63.0,0.94,39.7,16133.0,82.0,1.97,,,,
