,,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NAUR00NRU,NAUR00NRU,NAUR00NRU,NAUR00NRU,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,2W,29.9,31707.0,64.0,0.21,29.7,34124.0,122.0,0.36,32.0,27853.0,87.0,0.27,30.9,28541.0,54.0,0.35,30.9,31602.0,56.0,0.15,28.8,32389.0,276.0,0.41,31.1,27736.0,84.0,0.42,31.2,29930.0,122.0,0.42,39.1,30192.0,145.0,0.26,40.9,29005.0,57.0,0.22,41.2,34043.0,90.0,0.23,30.2,30714.0,167.0,0.38,30.3,29677.0,153.0,0.4,30.0,32941.0,159.0,0.3,27.7,32572.0,95.0,0.25,30.3,28136.0,247.0,0.43,27.1,32978.0,105.0,0.31,32.2,30047.0,79.0,0.23,32.0,30076.0,50.0,0.17,30.8,28027.0,64.0,0.19,29.1,30319.0,191.0,0.4,31.4,52717.0,2.0,0.2,41.0,30467.0,137.0,0.17,30.5,29752.0,223.0,0.38,31.4,27397.0,75.0,0.25,42.1,31304.0,86.0,0.18,32.0,26395.0,104.0,0.4,29.1,31634.0,92.0,0.37,30.2,27029.0,137.0,0.51,30.6,26885.0,117.0,0.48,32.3,28507.0,63.0,0.24,41.4,33100.0,59.0,0.19,30.0,30552.0,287.0,0.42,27.6,27747.0,98.0,0.42,30.1,25563.0,261.0,0.54,32.4,31129.0,65.0,0.18,33.0,25984.0,88.0,0.3,30.6,27581.0,115.0,0.42,41.9,30404.0,73.0,0.18,29.7,31293.0,244.0,0.38,25.6,29355.0,33.0,0.12
G,5Q,48.3,11143.0,22.0,0.0,,,,,49.0,9729.0,21.0,0.0,,,,,46.2,9605.0,19.0,0.0,,,,,,,,,,,,,48.8,10539.0,62.0,0.0,50.5,9990.0,11.0,0.0,50.3,11956.0,23.0,0.0,,,,,,,,,47.0,11928.0,28.0,0.0,45.6,11336.0,28.0,0.0,,,,,45.0,11780.0,24.0,0.0,47.8,10699.0,22.0,0.0,46.2,10255.0,19.0,0.0,31.7,2397.0,22.0,0.0,,,,,47.5,19760.0,0.0,0.0,49.9,10434.0,38.0,0.0,,,,,47.6,9560.0,9.0,0.0,50.6,10913.0,35.0,0.0,,,,,,,,,,,,,,,,,49.3,9611.0,13.0,0.0,50.4,11596.0,21.0,0.0,,,,,,,,,,,,,46.7,9515.0,8.0,0.0,49.1,9406.0,31.0,0.0,,,,,50.5,10275.0,18.0,0.0,,,,,34.4,8064.0,58.0,0.0
R,1C,44.1,24967.0,52.0,1.05,43.9,26461.0,61.0,1.07,44.9,21982.0,98.0,1.27,45.2,20739.0,37.0,1.68,43.4,20445.0,92.0,1.19,43.2,21509.0,116.0,1.73,45.0,23106.0,79.0,1.32,45.6,24558.0,94.0,1.31,46.0,21604.0,74.0,1.13,46.4,21087.0,40.0,1.21,46.3,25914.0,45.0,0.83,45.1,22296.0,67.0,1.2,43.2,22529.0,299.0,1.91,45.0,25396.0,150.0,1.03,42.5,21773.0,177.0,1.43,44.3,21615.0,234.0,1.6,40.5,22417.0,139.0,1.58,46.1,22000.0,66.0,1.06,46.2,22873.0,50.0,1.19,39.0,20621.0,75.0,1.2,43.7,22674.0,103.0,1.13,45.0,45368.0,60.0,1.49,45.6,22408.0,87.0,0.97,44.0,22006.0,127.0,1.6,44.8,19895.0,70.0,1.01,46.4,25673.0,77.0,0.84,45.4,20729.0,124.0,1.31,43.6,23076.0,121.0,1.87,43.8,20589.0,198.0,1.96,44.7,20728.0,218.0,1.76,45.2,22315.0,134.0,1.29,46.3,26261.0,51.0,1.03,44.8,22085.0,135.0,1.53,42.3,20251.0,171.0,1.89,42.5,20649.0,290.0,1.88,46.5,20702.0,49.0,1.46,45.0,20656.0,174.0,1.26,45.2,21315.0,75.0,1.46,46.6,24671.0,46.0,0.9,44.3,21095.0,102.0,1.66,39.0,21065.0,58.0,1.18
R,2C,41.7,24613.0,62.0,1.14,41.1,26418.0,77.0,1.07,41.3,21366.0,104.0,1.31,41.0,20718.0,39.0,1.53,42.7,18202.0,79.0,1.16,40.1,21462.0,125.0,1.5,40.9,23037.0,78.0,1.24,40.9,24481.0,104.0,1.4,41.0,21317.0,172.0,1.02,42.2,20957.0,58.0,1.2,41.4,25743.0,119.0,0.69,41.0,22268.0,74.0,1.04,40.0,22316.0,314.0,1.73,41.4,24891.0,121.0,0.91,39.1,20678.0,200.0,1.47,40.3,21465.0,223.0,1.58,39.5,22175.0,122.0,1.58,41.4,21485.0,101.0,1.07,41.1,22359.0,89.0,1.19,40.7,20792.0,65.0,1.25,40.3,22622.0,106.0,1.1,37.9,42335.0,81.0,1.7,40.3,21962.0,123.0,1.02,40.9,21949.0,137.0,1.46,41.4,19525.0,74.0,1.05,,,,,41.4,20622.0,137.0,1.35,39.3,23004.0,111.0,1.54,39.7,20398.0,220.0,1.74,40.5,20526.0,217.0,1.78,41.8,21712.0,113.0,1.34,41.4,26077.0,96.0,0.96,40.6,22002.0,138.0,1.6,39.3,20147.0,160.0,1.55,39.5,20431.0,342.0,1.59,41.4,19410.0,50.0,1.5,41.7,19896.0,143.0,1.28,41.4,21252.0,70.0,1.48,43.1,24588.0,53.0,0.79,40.7,21022.0,122.0,1.64,39.3,20722.0,50.0,1.22
R,2P,42.1,24524.0,52.0,0.94,40.5,26301.0,95.0,0.82,41.7,21205.0,70.0,0.91,40.4,20656.0,49.0,1.43,43.4,16032.0,19.0,1.16,39.4,21356.0,152.0,1.5,40.3,22931.0,87.0,1.16,40.4,24360.0,142.0,1.33,40.6,21355.0,165.0,1.12,41.9,20941.0,64.0,1.03,41.1,25730.0,117.0,0.86,40.4,22168.0,100.0,1.11,39.5,22003.0,358.0,1.89,41.8,24714.0,102.0,0.94,39.6,20226.0,157.0,1.43,39.8,21214.0,244.0,1.51,40.0,21862.0,105.0,1.59,41.8,21338.0,94.0,1.12,41.4,22213.0,89.0,1.14,41.0,20602.0,45.0,1.09,39.7,22511.0,123.0,1.07,38.7,41721.0,74.0,1.43,40.0,21994.0,108.0,1.01,40.3,21858.0,151.0,1.41,41.8,19386.0,54.0,0.99,41.7,25466.0,167.0,0.83,40.9,20462.0,147.0,1.21,38.7,22829.0,142.0,1.53,39.2,20003.0,229.0,1.91,39.9,20340.0,194.0,1.84,42.2,21544.0,86.0,1.18,41.1,26063.0,101.0,0.95,40.0,21899.0,159.0,1.58,38.3,19977.0,157.0,1.33,39.1,20049.0,389.0,1.71,42.1,17770.0,27.0,1.0,42.2,19710.0,86.0,0.99,40.8,21142.0,89.0,1.41,42.7,24585.0,53.0,0.9,40.1,20891.0,138.0,1.43,,,,
C,1I,,,,,39.3,24047.0,190.0,0.0,,,,,39.9,12087.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,31981.0,11.0,0.0,40.5,21067.0,54.0,0.0,,,,,,,,,40.6,20207.0,108.0,0.0,,,,,,,,,,,,,42.4,24262.0,14.0,0.0,41.2,31067.0,34.0,0.0,43.3,33244.0,7.0,0.0,,,,,39.3,15905.0,124.0,0.0,,,,,,,,,42.0,28326.0,11.0,0.0,41.6,28047.0,413.0,0.0,41.8,23261.0,47.0,0.0,41.2,21869.0,39.0,0.0,,,,,,,,,40.1,15922.0,69.0,0.0,38.9,23330.0,49.0,0.0,39.7,15406.0,13.0,0.0,44.5,22154.0,18.0,0.0,,,,,,,,,,,,,42.6,32003.0,8.0,0.0,40.7,28426.0,21.0,0.0
E,1X,,,,,45.0,11094.0,16.0,0.23,,,,,44.2,7671.0,5.0,0.3,,,,,44.0,8789.0,11.0,0.21,45.9,7414.0,6.0,0.35,44.9,7827.0,20.0,0.26,,,,,,,,,,,,,44.9,6341.0,4.0,0.33,44.5,6393.0,21.0,0.34,,,,,,,,,43.8,9940.0,48.0,0.38,,,,,,,,,,,,,,,,,43.8,6579.0,8.0,0.37,,,,,,,,,43.9,10323.0,30.0,0.35,,,,,,,,,45.6,5672.0,6.0,0.32,44.4,9721.0,8.0,0.29,42.9,6485.0,25.0,0.57,43.9,6634.0,18.0,0.53,,,,,,,,,43.1,8297.0,26.0,0.38,41.8,6652.0,5.0,0.38,43.2,9054.0,57.0,0.55,,,,,,,,,45.8,8962.0,9.0,0.31,,,,,44.6,6121.0,14.0,0.25,,,,
E,5X,,,,,44.4,9870.0,13.0,0.23,,,,,45.1,6851.0,5.0,0.26,,,,,43.8,8441.0,14.0,0.29,45.8,6300.0,8.0,0.35,44.9,6898.0,21.0,0.36,,,,,,,,,,,,,45.7,5825.0,6.0,0.32,46.2,5786.0,23.0,0.27,,,,,,,,,45.3,9326.0,46.0,0.38,,,,,,,,,,,,,,,,,45.1,6016.0,9.0,0.26,,,,,,,,,45.4,9496.0,29.0,0.3,,,,,,,,,47.0,5094.0,6.0,0.31,46.0,9441.0,6.0,0.27,44.9,6147.0,16.0,0.5,44.7,6172.0,16.0,0.51,,,,,,,,,45.2,7510.0,33.0,0.33,44.5,6496.0,5.0,0.36,44.9,8313.0,55.0,0.56,,,,,,,,,45.6,8585.0,9.0,0.34,,,,,45.0,5590.0,20.0,0.22,,,,
E,7X,,,,,44.6,9869.0,14.0,0.0,,,,,44.5,6851.0,5.0,0.0,,,,,42.8,8440.0,15.0,0.0,45.6,6303.0,7.0,0.0,45.2,6898.0,20.0,0.0,,,,,,,,,,,,,45.5,5825.0,6.0,0.0,46.1,5788.0,22.0,0.0,,,,,,,,,44.3,9321.0,46.0,0.0,,,,,,,,,,,,,,,,,44.7,6016.0,9.0,0.0,,,,,,,,,44.5,9495.0,29.0,0.0,,,,,,,,,46.5,5095.0,6.0,0.0,44.8,9440.0,5.0,0.0,44.3,6151.0,15.0,0.0,44.1,6171.0,15.0,0.0,,,,,,,,,44.1,7511.0,33.0,0.0,43.1,6496.0,5.0,0.0,44.1,8293.0,65.0,0.0,,,,,,,,,44.6,8586.0,9.0,0.0,,,,,45.9,5594.0,16.0,0.0,,,,
E,8X,,,,,48.9,9851.0,13.0,0.0,,,,,50.7,6839.0,5.0,0.0,,,,,49.1,8442.0,13.0,0.0,51.4,6303.0,7.0,0.0,50.9,6899.0,20.0,0.0,,,,,,,,,,,,,50.3,5824.0,6.0,0.0,50.9,5732.0,8.0,0.0,,,,,,,,,49.7,8888.0,28.0,0.0,,,,,,,,,,,,,,,,,50.8,6016.0,9.0,0.0,,,,,,,,,51.0,9003.0,28.0,0.0,,,,,,,,,51.5,5079.0,6.0,0.0,49.9,9242.0,4.0,0.0,50.7,6024.0,13.0,0.0,49.2,6161.0,14.0,0.0,,,,,,,,,50.6,7511.0,32.0,0.0,49.9,6038.0,5.0,0.0,50.4,8251.0,52.0,0.0,,,,,,,,,50.9,8585.0,9.0,0.0,,,,,50.1,5588.0,19.0,0.0,,,,
