,,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,2W,29.9,31648.0,57.0,0.21,29.7,34129.0,110.0,0.36,31.7,27769.0,63.0,0.29,30.7,28524.0,72.0,0.36,30.9,31668.0,67.0,0.15,28.8,32448.0,259.0,0.38,31.0,27798.0,88.0,0.43,30.7,29825.0,123.0,0.42,39.1,30235.0,122.0,0.26,40.9,28980.0,62.0,0.23,41.2,34049.0,73.0,0.24,30.3,30710.0,149.0,0.37,30.1,29642.0,142.0,0.4,30.5,33034.0,175.0,0.28,27.7,32540.0,99.0,0.26,27.6,4925.0,50.0,0.3,32.1,30092.0,69.0,0.22,32.0,30082.0,44.0,0.17,31.4,28066.0,68.0,0.2,29.3,30366.0,199.0,0.4,41.0,30456.0,156.0,0.2,31.5,27330.0,98.0,0.28,42.1,31391.0,78.0,0.19,32.0,26374.0,96.0,0.4,29.3,31616.0,94.0,0.37,30.2,27060.0,157.0,0.5,30.5,26818.0,129.0,0.49,32.1,28260.0,66.0,0.24,41.6,33095.0,54.0,0.2,29.9,30651.0,273.0,0.38,27.6,27711.0,97.0,0.42,30.1,25498.0,280.0,0.54,32.3,31134.0,66.0,0.16,32.8,25776.0,86.0,0.3,30.7,27595.0,96.0,0.4,41.8,30294.0,71.0,0.21,29.7,31242.0,275.0,0.4,25.5,29267.0,30.0,0.13
G,5Q,48.3,11129.0,23.0,0.0,,,,,49.1,9674.0,22.0,0.0,,,,,46.5,10347.0,22.0,0.0,,,,,,,,,,,,,48.8,10528.0,51.0,0.0,50.5,9996.0,13.0,0.0,50.4,11936.0,20.0,0.0,,,,,,,,,47.2,11950.0,31.0,0.0,45.4,11347.0,40.0,0.0,46.1,1105.0,11.0,0.0,47.7,10711.0,24.0,0.0,46.3,10252.0,19.0,0.0,31.8,3030.0,39.0,0.0,,,,,49.9,10453.0,53.0,0.0,47.7,9556.0,12.0,0.0,50.6,10888.0,35.0,0.0,,,,,,,,,,,,,,,,,49.1,9536.0,9.0,0.0,50.5,11612.0,20.0,0.0,,,,,,,,,,,,,46.6,9544.0,11.0,0.0,49.0,9342.0,27.0,0.0,,,,,50.5,10245.0,14.0,0.0,,,,,34.3,7971.0,71.0,0.0
R,1C,44.0,25187.0,54.0,1.04,43.9,26356.0,58.0,1.18,44.7,22053.0,105.0,1.51,45.0,20547.0,42.0,1.58,43.3,19855.0,89.0,1.47,42.9,21935.0,132.0,1.81,45.1,23294.0,89.0,1.41,45.3,24755.0,98.0,1.04,46.1,21758.0,75.0,1.48,46.4,21143.0,37.0,1.5,46.3,26100.0,43.0,0.88,45.2,22196.0,52.0,1.41,43.0,22088.0,365.0,2.09,45.2,25742.0,153.0,1.03,42.8,21903.0,161.0,1.59,40.9,3604.0,48.0,1.59,46.1,22457.0,64.0,1.23,46.2,22743.0,57.0,1.25,39.4,20210.0,79.0,1.2,43.9,22418.0,120.0,1.51,45.6,22447.0,83.0,1.3,44.9,19648.0,68.0,1.59,46.5,25507.0,80.0,0.76,45.5,20375.0,129.0,1.38,43.7,22465.0,109.0,1.7,43.7,20080.0,256.0,1.98,44.7,20232.0,217.0,1.68,45.1,22123.0,108.0,1.22,46.5,26328.0,57.0,0.86,44.4,22169.0,172.0,1.55,42.3,19870.0,151.0,1.88,42.4,20414.0,270.0,1.83,46.3,20470.0,64.0,1.61,44.9,20684.0,166.0,1.4,45.1,21143.0,60.0,1.51,46.6,24791.0,47.0,1.12,44.2,21373.0,108.0,2.01,39.3,20486.0,49.0,1.33
R,2C,42.0,24772.0,58.0,1.11,41.1,26312.0,73.0,1.12,41.4,21620.0,85.0,1.4,40.9,20519.0,44.0,1.53,42.1,18256.0,70.0,1.49,39.8,21897.0,134.0,1.71,41.1,23226.0,89.0,1.36,40.6,24666.0,125.0,1.05,41.1,21398.0,184.0,1.57,42.3,21032.0,66.0,1.51,41.5,25896.0,121.0,0.87,41.1,22156.0,64.0,1.26,39.9,21907.0,346.0,1.92,41.7,25247.0,146.0,1.14,39.2,20743.0,224.0,1.68,40.3,3511.0,50.0,1.41,41.3,22001.0,96.0,1.15,40.9,22314.0,114.0,1.24,41.3,20090.0,60.0,1.14,40.5,22366.0,133.0,1.35,40.5,21945.0,120.0,1.28,41.7,19172.0,89.0,1.69,,,,,41.6,20272.0,134.0,1.37,39.8,22396.0,110.0,1.63,40.0,19890.0,227.0,1.7,40.7,20049.0,202.0,1.48,41.9,21685.0,87.0,1.16,41.7,26162.0,96.0,0.71,40.5,22063.0,171.0,1.7,39.7,19802.0,147.0,1.83,39.7,20164.0,326.0,1.7,41.7,18845.0,35.0,1.53,41.7,20221.0,144.0,1.29,41.5,21094.0,58.0,1.35,43.2,24702.0,53.0,0.99,40.5,21325.0,119.0,2.01,39.6,19911.0,54.0,1.29
R,2P,42.4,24711.0,45.0,1.12,40.5,26194.0,97.0,1.05,41.8,21441.0,74.0,1.17,40.4,20411.0,62.0,1.53,42.9,16694.0,27.0,1.42,39.2,21752.0,179.0,1.62,40.5,23089.0,108.0,1.3,40.0,24517.0,140.0,1.04,40.6,21489.0,178.0,1.51,42.0,21022.0,69.0,1.43,41.2,25875.0,129.0,0.96,40.5,22042.0,94.0,1.17,39.4,21675.0,338.0,1.67,42.1,25064.0,117.0,0.95,39.6,20373.0,227.0,1.58,40.8,3455.0,41.0,1.25,41.7,21813.0,110.0,0.99,41.2,22121.0,116.0,1.09,41.6,19882.0,45.0,0.94,39.9,22235.0,156.0,1.29,40.1,21990.0,113.0,1.27,42.0,19149.0,69.0,1.54,41.7,25311.0,165.0,0.73,41.0,20156.0,141.0,1.29,39.2,22244.0,126.0,1.43,39.5,19670.0,231.0,1.58,40.2,19795.0,180.0,1.44,42.3,21571.0,68.0,1.12,41.4,26166.0,89.0,0.82,39.9,21917.0,201.0,1.53,38.6,19648.0,147.0,1.51,39.2,19769.0,356.0,1.9,42.3,18170.0,39.0,1.48,42.2,19980.0,105.0,1.19,40.9,21012.0,74.0,1.36,42.8,24703.0,57.0,1.08,39.9,21256.0,123.0,1.98,,,,
C,1I,,,,,39.3,23897.0,136.0,0.0,,,,,39.2,10910.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,31988.0,18.0,0.0,40.2,19686.0,68.0,0.0,,,,,,,,,,,,,,,,,,,,,42.5,24032.0,24.0,0.0,41.2,31015.0,32.0,0.0,,,,,,,,,,,,,41.8,28434.0,19.0,0.0,41.8,26450.0,422.0,0.0,41.8,22167.0,32.0,0.0,40.7,20705.0,41.0,0.0,,,,,,,,,39.4,14594.0,77.0,0.0,38.8,21915.0,48.0,0.0,38.8,14383.0,33.0,0.0,44.7,21433.0,18.0,0.0,,,,,,,,,,,,,42.6,32402.0,2.0,0.0,40.6,28296.0,27.0,0.0
E,1X,,,,,44.1,8024.0,16.0,0.26,,,,,44.6,7742.0,7.0,0.25,,,,,43.1,9263.0,39.0,0.26,45.8,7906.0,11.0,0.37,44.4,8730.0,22.0,0.28,,,,,,,,,,,,,43.6,6518.0,9.0,0.33,44.1,7516.0,14.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,42.9,6414.0,13.0,0.4,,,,,,,,,,,,,44.0,5681.0,14.0,0.38,44.2,9671.0,9.0,0.3,43.0,7000.0,31.0,0.59,43.7,6968.0,29.0,0.57,,,,,,,,,43.9,8218.0,16.0,0.29,41.6,6663.0,17.0,0.39,43.4,8569.0,56.0,0.53,,,,,,,,,45.6,8636.0,11.0,0.32,,,,,43.4,6370.0,37.0,0.33,,,,
E,5X,,,,,43.5,6987.0,15.0,0.25,,,,,45.5,6679.0,5.0,0.23,,,,,43.0,8963.0,42.0,0.31,45.7,6929.0,12.0,0.37,44.3,7833.0,15.0,0.35,,,,,,,,,,,,,44.4,6261.0,9.0,0.32,45.3,6643.0,15.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,44.0,6131.0,13.0,0.32,,,,,,,,,,,,,45.3,5357.0,17.0,0.35,46.2,8850.0,11.0,0.28,45.0,6249.0,31.0,0.51,44.5,6148.0,23.0,0.48,,,,,,,,,45.8,7252.0,16.0,0.26,45.0,5914.0,19.0,0.36,44.9,7685.0,61.0,0.55,,,,,,,,,45.5,8140.0,12.0,0.34,,,,,43.5,6049.0,44.0,0.29,,,,
E,7X,,,,,43.8,6989.0,13.0,0.0,,,,,45.0,6679.0,5.0,0.0,,,,,42.0,8962.0,42.0,0.0,45.4,6927.0,13.0,0.0,44.6,7833.0,15.0,0.0,,,,,,,,,,,,,44.2,6261.0,9.0,0.0,45.5,6641.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,43.6,6130.0,13.0,0.0,,,,,,,,,,,,,44.7,5358.0,16.0,0.0,45.1,8850.0,11.0,0.0,44.5,6251.0,31.0,0.0,44.0,6146.0,24.0,0.0,,,,,,,,,44.8,7252.0,16.0,0.0,43.6,5914.0,19.0,0.0,44.3,7656.0,64.0,0.0,,,,,,,,,44.5,8140.0,12.0,0.0,,,,,44.3,6069.0,43.0,0.0,,,,
E,8X,,,,,48.0,6984.0,13.0,0.0,,,,,51.2,6429.0,5.0,0.0,,,,,48.3,8961.0,42.0,0.0,51.1,6929.0,12.0,0.0,50.2,7833.0,15.0,0.0,,,,,,,,,,,,,48.9,6238.0,9.0,0.0,50.0,6518.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,49.8,6119.0,10.0,0.0,,,,,,,,,,,,,49.8,5348.0,14.0,0.0,50.3,8675.0,8.0,0.0,50.7,6233.0,28.0,0.0,49.1,6092.0,18.0,0.0,,,,,,,,,51.3,7215.0,17.0,0.0,50.1,5913.0,19.0,0.0,50.7,7423.0,46.0,0.0,,,,,,,,,50.8,8136.0,11.0,0.0,,,,,48.8,5969.0,32.0,0.0,,,,
