,,BRUX00BEL,BRUX00BEL,BRUX00BEL,BRUX00BEL,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,LAUT00FJI,LAUT00FJI,LAUT00FJI,LAUT00FJI,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NIUM00NIU,NIUM00NIU,NIUM00NIU,NIUM00NIU,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,2W,29.9,31639.0,62.0,0.21,29.6,34127.0,108.0,0.34,31.9,27861.0,75.0,0.27,30.8,28538.0,84.0,0.35,30.9,31652.0,71.0,0.14,28.9,32320.0,289.0,0.38,31.0,27835.0,79.0,0.43,30.8,29858.0,109.0,0.43,39.0,30197.0,143.0,0.24,40.8,28998.0,53.0,0.24,41.2,34052.0,75.0,0.22,30.3,30735.0,193.0,0.39,30.2,29688.0,151.0,0.4,29.8,32441.0,123.0,0.29,27.7,32561.0,99.0,0.26,30.3,28121.0,254.0,0.44,27.1,32977.0,94.0,0.32,32.1,30078.0,76.0,0.22,32.0,30073.0,57.0,0.17,31.2,28036.0,58.0,0.19,29.0,30253.0,188.0,0.41,41.1,30486.0,125.0,0.21,30.5,29682.0,235.0,0.4,31.4,27328.0,75.0,0.26,42.1,31429.0,75.0,0.19,31.9,26393.0,95.0,0.4,29.1,31592.0,95.0,0.37,30.2,27038.0,141.0,0.49,30.5,26887.0,102.0,0.48,32.0,28377.0,75.0,0.26,41.4,33101.0,53.0,0.2,30.0,30621.0,227.0,0.4,27.5,27684.0,86.0,0.41,30.1,25479.0,286.0,0.53,32.4,31070.0,73.0,0.17,33.1,25921.0,79.0,0.29,30.6,27596.0,103.0,0.39,41.9,30362.0,88.0,0.2,29.6,31325.0,237.0,0.4,25.5,29233.0,26.0,0.12
G,5Q,48.3,11138.0,23.0,0.0,,,,,49.1,9721.0,11.0,0.0,,,,,46.2,9710.0,21.0,0.0,,,,,,,,,,,,,48.7,10508.0,59.0,0.0,50.5,10003.0,10.0,0.0,50.4,11933.0,25.0,0.0,,,,,,,,,46.9,11820.0,23.0,0.0,45.6,11359.0,30.0,0.0,,,,,45.0,11754.0,29.0,0.0,47.7,10709.0,18.0,0.0,46.2,10256.0,22.0,0.0,31.7,2826.0,37.0,0.0,,,,,49.9,10449.0,48.0,0.0,,,,,47.6,9549.0,11.0,0.0,50.6,11003.0,31.0,0.0,,,,,,,,,,,,,,,,,49.1,9598.0,8.0,0.0,50.4,11607.0,17.0,0.0,,,,,,,,,,,,,46.2,9322.0,13.0,0.0,49.1,9421.0,30.0,0.0,,,,,50.5,10264.0,18.0,0.0,,,,,34.2,7778.0,63.0,0.0
R,1C,44.0,25065.0,50.0,1.09,43.9,26511.0,59.0,1.15,44.9,22064.0,99.0,1.46,44.9,20826.0,44.0,1.67,43.0,20416.0,102.0,1.31,43.0,21750.0,128.0,1.6,45.0,23174.0,84.0,1.67,45.5,24714.0,85.0,1.33,45.9,21801.0,81.0,1.35,46.3,21205.0,29.0,1.13,46.3,26044.0,45.0,0.87,45.1,22482.0,62.0,1.71,43.5,21495.0,265.0,1.92,44.7,25297.0,113.0,1.02,42.4,22262.0,165.0,1.52,44.4,21191.0,233.0,1.76,40.8,22630.0,93.0,1.68,46.0,22047.0,71.0,1.32,46.1,22768.0,43.0,1.2,39.2,20588.0,65.0,1.16,43.5,22795.0,117.0,1.44,45.6,22801.0,88.0,1.31,43.9,22059.0,134.0,1.71,44.7,20189.0,68.0,1.41,46.5,25522.0,71.0,0.89,45.3,20765.0,120.0,1.41,43.7,23202.0,131.0,1.99,43.7,20562.0,232.0,1.94,45.1,20442.0,144.0,2.28,45.0,22276.0,108.0,1.29,46.3,26329.0,47.0,0.9,44.7,22070.0,136.0,1.6,42.4,20411.0,134.0,1.91,42.5,20411.0,302.0,1.8,46.5,21323.0,64.0,1.77,45.0,20738.0,186.0,1.3,45.1,21279.0,61.0,1.43,46.6,24812.0,42.0,1.19,44.1,21285.0,99.0,1.65,39.0,21135.0,51.0,1.24
R,2C,41.9,24737.0,61.0,0.98,41.0,26465.0,76.0,1.15,41.3,21573.0,91.0,1.59,40.8,20800.0,46.0,1.61,42.1,17090.0,80.0,1.26,39.9,21714.0,126.0,1.46,41.0,23119.0,80.0,1.59,40.6,24658.0,109.0,1.34,40.8,21468.0,202.0,1.27,42.1,21113.0,45.0,1.07,41.5,25851.0,133.0,0.92,40.8,22453.0,65.0,1.46,40.4,21304.0,267.0,1.74,41.3,24796.0,124.0,1.02,38.9,20829.0,179.0,1.38,40.5,21039.0,232.0,1.6,39.8,22115.0,133.0,1.56,41.4,21385.0,107.0,1.26,41.0,22284.0,89.0,1.17,40.9,20722.0,58.0,1.15,39.9,22739.0,133.0,1.39,40.4,22324.0,152.0,1.11,40.8,21999.0,147.0,1.52,41.2,19622.0,80.0,1.42,,,,,41.3,20610.0,133.0,1.34,39.5,23108.0,121.0,1.92,39.9,20370.0,237.0,1.68,40.9,20307.0,140.0,2.12,41.8,21863.0,108.0,1.21,41.5,26188.0,92.0,0.84,40.6,21990.0,136.0,1.57,39.5,20330.0,129.0,1.94,39.8,20157.0,375.0,1.69,41.4,20211.0,50.0,1.56,41.8,19912.0,159.0,1.3,41.4,21224.0,63.0,1.3,43.2,24724.0,57.0,0.97,40.3,21174.0,114.0,1.6,38.9,20757.0,53.0,1.42
R,2P,42.3,24637.0,53.0,0.86,40.4,26381.0,99.0,1.05,41.7,21463.0,69.0,1.33,40.2,20684.0,67.0,1.52,42.8,15159.0,19.0,1.18,39.3,21625.0,146.0,1.41,40.4,23025.0,102.0,1.47,40.1,24508.0,148.0,1.29,40.4,21571.0,175.0,1.4,41.7,21108.0,55.0,0.99,41.1,25838.0,129.0,0.9,40.2,22359.0,90.0,1.4,40.0,21006.0,262.0,1.53,41.7,24627.0,89.0,0.94,39.5,20292.0,152.0,1.21,40.0,20766.0,243.0,1.61,40.2,21791.0,89.0,1.49,41.8,21218.0,92.0,1.12,41.4,22147.0,85.0,1.12,41.2,20541.0,47.0,1.11,39.4,22575.0,149.0,1.19,40.0,22391.0,126.0,1.32,40.3,21885.0,169.0,1.5,41.6,19503.0,57.0,1.35,41.7,25357.0,149.0,0.85,40.8,20441.0,123.0,1.36,38.8,22970.0,144.0,1.81,39.5,20020.0,252.0,1.9,40.4,20122.0,133.0,1.93,42.2,21729.0,88.0,1.06,41.1,26185.0,90.0,0.83,40.0,21873.0,136.0,1.51,38.5,20189.0,124.0,1.82,39.4,19732.0,416.0,1.68,41.9,18716.0,39.0,1.48,42.3,19670.0,102.0,1.14,40.9,21135.0,72.0,1.14,42.8,24726.0,55.0,1.03,39.8,20996.0,135.0,1.56,,,,
C,1I,,,,,39.3,24030.0,167.0,0.0,,,,,40.1,11681.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,31192.0,16.0,0.0,40.4,20625.0,67.0,0.0,,,,,,,,,40.5,20056.0,87.0,0.0,,,,,,,,,,,,,42.6,23998.0,13.0,0.0,41.0,30406.0,39.0,0.0,,,,,39.5,15447.0,55.0,0.0,,,,,,,,,41.8,27700.0,19.0,0.0,41.7,27554.0,421.0,0.0,41.6,23109.0,43.0,0.0,41.1,21584.0,40.0,0.0,,,,,,,,,40.2,15589.0,44.0,0.0,38.8,23000.0,29.0,0.0,39.6,15168.0,32.0,0.0,44.6,22634.0,13.0,0.0,,,,,,,,,,,,,42.6,31163.0,15.0,0.0,40.6,27831.0,25.0,0.0
E,1X,,,,,44.5,10720.0,11.0,0.23,,,,,43.6,6161.0,7.0,0.34,,,,,42.4,9806.0,30.0,0.24,45.3,8576.0,9.0,0.35,44.4,8796.0,18.0,0.23,,,,,,,,,,,,,44.7,7306.0,14.0,0.3,43.8,6486.0,23.0,0.47,,,,,,,,,44.7,8254.0,28.0,0.37,,,,,,,,,,,,,,,,,44.0,7138.0,10.0,0.32,,,,,43.8,8865.0,24.0,0.37,,,,,,,,,45.4,6408.0,10.0,0.31,45.5,8659.0,9.0,0.26,44.7,6102.0,4.0,0.48,45.0,6007.0,7.0,0.51,,,,,,,,,43.4,6508.0,8.0,0.36,43.2,6136.0,2.0,0.35,43.5,7792.0,51.0,0.62,,,,,,,,,46.0,7710.0,8.0,0.35,,,,,44.0,7321.0,22.0,0.3,,,,
E,5X,,,,,43.9,9338.0,11.0,0.22,,,,,44.9,5476.0,11.0,0.29,,,,,42.8,8028.0,33.0,0.29,45.0,7586.0,11.0,0.36,44.5,7679.0,17.0,0.32,,,,,,,,,,,,,45.7,5990.0,14.0,0.28,45.1,5589.0,23.0,0.36,,,,,,,,,46.1,7370.0,28.0,0.36,,,,,,,,,,,,,,,,,45.4,5885.0,10.0,0.29,,,,,45.7,7926.0,24.0,0.3,,,,,,,,,46.7,5338.0,9.0,0.31,47.9,7341.0,5.0,0.24,46.7,5222.0,5.0,0.44,46.0,5044.0,6.0,0.47,,,,,,,,,45.8,5576.0,9.0,0.31,46.3,5248.0,4.0,0.33,45.2,6983.0,56.0,0.55,,,,,,,,,46.0,7017.0,8.0,0.35,,,,,44.5,5905.0,25.0,0.25,,,,
E,7X,,,,,44.1,9339.0,10.0,0.0,,,,,44.3,5477.0,11.0,0.0,,,,,41.8,8028.0,32.0,0.0,44.8,7586.0,11.0,0.0,44.9,7678.0,18.0,0.0,,,,,,,,,,,,,45.7,5990.0,14.0,0.0,45.3,5582.0,22.0,0.0,,,,,,,,,45.3,7362.0,29.0,0.0,,,,,,,,,,,,,,,,,45.1,5885.0,10.0,0.0,,,,,44.7,7923.0,25.0,0.0,,,,,,,,,46.5,5337.0,9.0,0.0,46.9,7343.0,4.0,0.0,46.3,5226.0,4.0,0.0,45.5,5054.0,5.0,0.0,,,,,,,,,44.7,5574.0,10.0,0.0,45.0,5248.0,4.0,0.0,44.5,6980.0,52.0,0.0,,,,,,,,,45.1,7016.0,9.0,0.0,,,,,45.5,5906.0,25.0,0.0,,,,
E,8X,,,,,48.3,9331.0,10.0,0.0,,,,,50.8,5155.0,9.0,0.0,,,,,48.1,8027.0,31.0,0.0,50.7,7549.0,9.0,0.0,50.6,7679.0,17.0,0.0,,,,,,,,,,,,,50.2,5985.0,13.0,0.0,49.5,5582.0,20.0,0.0,,,,,,,,,50.1,7356.0,27.0,0.0,,,,,,,,,,,,,,,,,51.0,5885.0,10.0,0.0,,,,,51.3,7526.0,21.0,0.0,,,,,,,,,51.2,5338.0,10.0,0.0,51.8,7335.0,2.0,0.0,52.3,5226.0,4.0,0.0,50.5,5033.0,5.0,0.0,,,,,,,,,51.1,5576.0,9.0,0.0,51.2,5248.0,4.0,0.0,50.7,6726.0,52.0,0.0,,,,,,,,,51.2,7015.0,7.0,0.0,,,,,49.6,5867.0,22.0,0.0,,,,
