,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAL200KEN,MAL200KEN,MAL200KEN,MAL200KEN,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,5X,47.3,12383.0,32.0,0.0,,,,,49.0,10221.0,40.0,0.0,,,,,45.8,12294.0,65.0,0.0,49.4,9829.0,41.0,0.0,49.1,10702.0,49.0,0.0,,,,,,,,,,,,,49.5,10558.0,76.0,0.0,48.9,11132.0,129.0,0.0,,,,,,,,,,,,,,,,,,,,,48.9,10629.0,82.0,0.0,,,,,,,,,,,,,50.7,9231.0,82.0,0.0,50.3,1073.0,8.0,0.0,48.9,10973.0,128.0,0.0,48.0,10693.0,111.0,0.0,,,,,,,,,48.8,11764.0,140.0,0.0,47.3,11082.0,79.0,0.0,47.9,9976.0,269.0,0.0,,,,,,,,,48.2,10594.0,47.0,0.0,,,,,48.6,10749.0,48.0,0.0,,,,
J,1C,43.3,1033.0,3.0,0.38,,,,,,,,,40.9,2880.0,0.0,0.17,43.0,2880.0,0.0,0.28,,,,,37.8,544.0,5.0,0.62,47.2,2880.0,0.0,0.18,47.4,2880.0,0.0,0.22,,,,,45.9,2880.0,0.0,0.33,44.9,2880.0,0.0,0.44,38.1,809.0,2.0,0.37,,,,,,,,,,,,,,,,,44.0,2880.0,0.0,0.4,,,,,43.0,2838.0,1.0,0.29,,,,,44.0,2742.0,1.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,2880.0,0.0,0.18,,,,,,,,,,,,,44.4,2880.0,0.0,0.39,40.0,2880.0,0.0,0.2
J,1Z,42.8,1022.0,6.0,0.46,,,,,,,,,,,,,42.8,2880.0,0.0,0.37,,,,,37.6,518.0,16.0,0.95,,,,,,,,,,,,,45.3,2880.0,0.0,0.37,44.3,2880.0,0.0,0.47,,,,,,,,,,,,,,,,,,,,,43.6,2877.0,3.0,0.41,,,,,,,,,,,,,43.5,2723.0,18.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,2880.0,0.0,0.43,,,,
J,2X,43.7,1024.0,5.0,0.33,,,,,,,,,,,,,42.3,2880.0,0.0,0.25,,,,,33.7,502.0,18.0,0.84,,,,,,,,,,,,,45.1,2880.0,0.0,0.32,44.3,2880.0,0.0,0.37,,,,,,,,,,,,,,,,,,,,,43.5,2877.0,3.0,0.33,,,,,,,,,,,,,43.4,2723.0,18.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3,2880.0,0.0,0.35,,,,
J,5X,46.8,1024.0,5.0,0.0,,,,,,,,,,,,,46.1,2880.0,0.0,0.0,,,,,38.7,519.0,17.0,0.0,,,,,,,,,,,,,49.8,2880.0,0.0,0.0,49.3,2880.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,48.2,2877.0,3.0,0.0,,,,,,,,,,,,,48.3,2723.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,2880.0,0.0,0.0,,,,
J,6X,45.8,1024.0,5.0,0.0,,,,,,,,,,,,,39.1,2876.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,47.2,2880.0,0.0,0.0,39.9,2764.0,111.0,0.0,,,,,,,,,,,,,,,,,,,,,39.3,2877.0,3.0,0.0,,,,,,,,,,,,,45.4,2723.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,2880.0,0.0,0.0,,,,
R,1C,43.9,26412.0,71.0,1.24,44.8,21860.0,88.0,1.27,45.1,20820.0,42.0,1.24,43.2,20588.0,102.0,1.62,43.0,22140.0,103.0,1.51,45.0,23056.0,89.0,1.74,45.8,24509.0,97.0,1.18,46.0,21637.0,80.0,1.71,46.3,21067.0,25.0,1.52,46.2,25904.0,44.0,0.89,45.2,22327.0,78.0,1.61,43.2,22056.0,354.0,1.97,44.5,24990.0,117.0,0.88,42.8,21671.0,138.0,1.36,40.7,22000.0,125.0,1.35,46.1,22082.0,73.0,1.22,46.1,23097.0,49.0,1.37,43.6,22643.0,133.0,1.66,45.8,22408.0,72.0,1.18,44.8,19907.0,79.0,1.28,46.3,25696.0,69.0,0.94,45.4,20554.0,145.0,1.62,44.5,2961.0,22.0,1.57,43.5,20661.0,255.0,1.98,44.8,20643.0,212.0,1.74,45.2,21966.0,119.0,1.09,46.3,26297.0,43.0,0.97,44.7,22420.0,167.0,1.63,41.3,19919.0,150.0,1.77,42.5,20287.0,458.0,1.45,46.5,20333.0,67.0,1.49,44.9,20360.0,184.0,1.22,45.1,21617.0,60.0,1.26,46.6,24564.0,49.0,0.92,44.2,21411.0,88.0,2.02,39.0,21215.0,57.0,1.44
R,1P,42.5,26399.0,75.0,1.13,,,,,43.8,20814.0,44.0,1.18,,,,,41.6,22120.0,107.0,1.32,43.5,23044.0,88.0,1.59,44.3,24496.0,105.0,1.11,,,,,,,,,,,,,43.7,22313.0,86.0,1.56,41.8,21999.0,368.0,1.85,,,,,,,,,,,,,,,,,,,,,42.2,22616.0,140.0,1.55,,,,,,,,,,,,,43.9,20529.0,141.0,1.48,43.2,2959.0,22.0,1.3,42.2,20633.0,254.0,1.8,43.4,20611.0,208.0,1.55,,,,,,,,,43.3,22394.0,176.0,1.54,40.0,19905.0,152.0,1.57,41.2,20201.0,487.0,1.3,,,,,,,,,43.7,21599.0,67.0,1.14,,,,,42.7,21389.0,87.0,1.89,,,,
R,2C,41.2,26369.0,91.0,1.16,41.0,21386.0,111.0,1.45,40.8,20781.0,44.0,1.21,42.1,18541.0,83.0,1.56,39.7,22109.0,110.0,1.37,40.6,23000.0,94.0,1.57,41.5,24454.0,120.0,1.21,40.8,21296.0,195.0,1.76,42.1,20997.0,43.0,1.48,41.2,25692.0,125.0,0.85,40.9,22289.0,89.0,1.63,39.7,21851.0,361.0,1.66,41.0,24346.0,129.0,0.83,39.3,20542.0,168.0,1.42,39.8,21731.0,120.0,1.32,41.1,21579.0,104.0,1.11,40.8,22552.0,120.0,1.49,40.0,22578.0,145.0,1.53,40.4,21762.0,143.0,1.0,41.4,19348.0,91.0,1.29,,,,,41.2,20451.0,144.0,1.47,38.6,2948.0,16.0,1.29,39.3,20472.0,263.0,1.76,40.3,20470.0,193.0,1.46,41.5,21370.0,101.0,1.23,41.4,26100.0,101.0,0.8,40.2,22339.0,179.0,1.6,38.4,19825.0,138.0,1.58,39.5,19946.0,533.0,1.26,41.3,19297.0,59.0,1.52,41.6,19544.0,144.0,1.2,41.3,21570.0,65.0,1.23,42.9,24481.0,52.0,0.84,40.4,21326.0,95.0,2.02,39.2,20481.0,57.0,1.31
R,2P,40.5,26256.0,106.0,1.04,41.4,21152.0,79.0,1.19,40.2,20676.0,55.0,1.18,43.2,14454.0,16.0,1.4,39.1,22050.0,122.0,1.14,40.1,22872.0,117.0,1.53,41.0,24359.0,139.0,1.27,40.3,21390.0,180.0,1.63,41.7,21004.0,45.0,1.55,40.9,25658.0,138.0,0.86,40.4,22149.0,116.0,1.46,39.2,21560.0,360.0,1.63,41.4,24102.0,81.0,0.92,39.8,20077.0,151.0,1.16,40.2,21484.0,92.0,1.3,41.5,21393.0,105.0,0.83,41.2,22325.0,138.0,1.24,39.4,22447.0,159.0,1.49,40.0,21834.0,132.0,1.06,41.7,19224.0,67.0,1.15,41.5,25501.0,157.0,0.84,40.7,20277.0,146.0,1.43,37.8,2938.0,15.0,1.13,38.9,20093.0,282.0,1.65,39.7,20313.0,175.0,1.56,41.9,21203.0,89.0,1.17,41.0,26085.0,94.0,0.84,39.7,22188.0,192.0,1.56,37.3,19548.0,168.0,1.6,39.0,19531.0,557.0,1.54,41.8,18553.0,57.0,1.38,42.0,19341.0,88.0,0.93,40.7,21451.0,92.0,1.15,42.6,24485.0,51.0,0.87,39.8,21200.0,108.0,1.89,,,,
