,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HOFN00ISL,HOFN00ISL,HOFN00ISL,HOFN00ISL,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,5X,47.3,12396.0,33.0,0.0,,,,,48.9,10233.0,42.0,0.0,,,,,45.9,12245.0,84.0,0.0,49.4,9824.0,34.0,0.0,48.0,10616.0,39.0,0.0,,,,,,,,,,,,,49.5,10595.0,59.0,0.0,49.0,11170.0,108.0,0.0,,,,,,,,,,,,,,,,,,,,,49.1,10670.0,65.0,0.0,,,,,,,,,,,,,50.8,9262.0,74.0,0.0,48.9,11958.0,80.0,0.0,48.9,10939.0,132.0,0.0,47.9,10652.0,130.0,0.0,,,,,,,,,48.8,11811.0,119.0,0.0,47.8,11235.0,85.0,0.0,47.8,10137.0,176.0,0.0,,,,,,,,,48.2,10586.0,54.0,0.0,,,,,48.6,10711.0,68.0,0.0,,,,
R,1C,43.9,26336.0,64.0,1.11,44.7,22176.0,100.0,1.37,44.9,20423.0,32.0,1.57,43.1,20684.0,88.0,1.35,43.0,21629.0,109.0,1.47,45.0,23299.0,81.0,1.63,45.2,24755.0,81.0,1.4,45.9,21393.0,77.0,1.3,46.3,20861.0,39.0,1.47,46.3,26126.0,45.0,0.91,45.0,22052.0,50.0,1.27,43.2,21897.0,251.0,1.73,45.4,25893.0,163.0,1.01,42.4,22306.0,178.0,1.57,46.1,22566.0,98.0,1.43,46.2,22907.0,49.0,1.19,39.0,20089.0,93.0,1.32,43.7,22394.0,111.0,1.24,45.5,22583.0,85.0,1.18,44.8,19601.0,69.0,1.21,46.5,25789.0,74.0,0.88,45.4,20295.0,142.0,1.41,43.6,22794.0,135.0,1.73,43.6,20291.0,220.0,1.69,44.4,20575.0,184.0,1.88,45.3,22210.0,113.0,1.1,46.5,26412.0,47.0,0.86,44.5,21803.0,133.0,1.6,42.0,20242.0,150.0,1.85,42.3,20443.0,274.0,1.74,46.2,20903.0,54.0,1.21,44.9,20872.0,169.0,1.39,45.1,21168.0,72.0,1.35,46.5,24758.0,47.0,1.05,44.1,20976.0,95.0,1.63,39.2,20741.0,49.0,1.14
R,1P,42.6,26332.0,66.0,1.04,,,,,43.5,20415.0,36.0,1.5,,,,,41.7,21615.0,112.0,1.43,43.5,23281.0,83.0,1.65,43.8,24741.0,86.0,1.36,,,,,,,,,,,,,43.6,22051.0,49.0,1.24,41.9,21865.0,253.0,1.73,,,,,,,,,,,,,,,,,,,,,42.3,22369.0,109.0,1.18,,,,,,,,,,,,,44.0,20280.0,140.0,1.37,42.2,22783.0,136.0,1.59,42.2,20264.0,223.0,1.63,43.1,20542.0,184.0,1.67,,,,,,,,,43.1,21780.0,141.0,1.46,40.7,20224.0,154.0,1.66,41.0,20404.0,280.0,1.5,,,,,,,,,43.7,21157.0,72.0,1.19,,,,,42.8,20956.0,96.0,1.5,,,,
R,2C,41.1,26299.0,73.0,1.02,41.3,21684.0,91.0,1.34,40.9,20409.0,37.0,1.53,42.3,18427.0,85.0,1.27,40.1,21596.0,113.0,1.43,40.9,23239.0,78.0,1.63,40.0,24680.0,108.0,1.32,41.0,20968.0,180.0,1.26,42.3,20774.0,64.0,1.2,41.4,25929.0,143.0,0.86,41.0,22022.0,56.0,1.2,40.3,21791.0,256.0,1.82,41.8,25301.0,174.0,0.95,38.9,21085.0,202.0,1.53,41.3,22052.0,109.0,1.38,40.9,22362.0,86.0,1.22,40.7,20242.0,59.0,1.43,40.3,22339.0,113.0,1.19,40.2,22026.0,141.0,1.11,41.6,19166.0,97.0,1.25,,,,,41.6,20197.0,144.0,1.21,39.5,22730.0,134.0,1.68,39.8,20110.0,235.0,1.65,40.5,20411.0,197.0,1.71,41.9,21556.0,112.0,1.12,41.6,26190.0,134.0,0.87,40.6,21706.0,140.0,1.63,39.4,20152.0,143.0,1.67,39.7,20157.0,356.0,1.32,41.5,19521.0,46.0,1.21,41.7,20109.0,143.0,1.29,41.5,21106.0,69.0,1.3,43.0,24673.0,51.0,1.01,40.6,20890.0,115.0,1.52,39.4,20333.0,53.0,1.14
R,2P,40.5,26198.0,104.0,0.9,41.7,21506.0,82.0,1.22,40.3,20355.0,42.0,1.47,43.6,15112.0,23.0,1.36,39.5,21475.0,149.0,1.49,40.4,23094.0,112.0,1.68,39.5,24486.0,155.0,1.28,40.6,21060.0,174.0,1.23,41.9,20775.0,57.0,1.26,41.1,25919.0,148.0,0.86,40.4,21894.0,78.0,1.28,39.7,21619.0,271.0,1.91,42.2,25111.0,131.0,0.9,39.4,20555.0,170.0,1.41,41.7,21850.0,117.0,1.1,41.3,22184.0,92.0,0.99,41.0,20095.0,47.0,1.28,39.7,22185.0,142.0,1.16,39.9,22082.0,141.0,1.19,42.0,19085.0,83.0,0.99,41.8,25598.0,149.0,0.84,41.0,20057.0,145.0,1.24,38.9,22498.0,171.0,1.7,39.2,19857.0,248.0,1.6,40.0,20201.0,185.0,1.49,42.3,21433.0,88.0,0.87,41.2,26172.0,144.0,0.93,40.0,21534.0,137.0,1.55,38.4,19983.0,147.0,1.57,39.2,19745.0,383.0,1.38,42.1,18684.0,41.0,1.01,42.2,19885.0,97.0,1.15,40.9,20994.0,76.0,1.31,42.7,24668.0,53.0,1.03,40.1,20735.0,137.0,1.58,,,,
C,2I,,,,,40.0,8854.0,40.0,0.51,,,,,43.9,28800.0,0.0,0.17,41.2,29919.0,24.0,0.54,39.8,8847.0,31.0,0.62,38.8,13850.0,369.0,0.51,45.6,23032.0,15.0,0.15,45.9,23040.0,8.0,0.13,,,,,,,,,,,,,42.4,14580.0,71.0,0.45,44.7,3094.0,5.0,0.32,43.5,7496.0,2.0,0.41,46.7,2466.0,10.0,0.32,,,,,,,,,,,,,43.9,33827.0,36.0,0.28,41.6,6283.0,27.0,0.32,,,,,,,,,,,,,,,,,41.2,12001.0,19.0,0.47,41.8,7818.0,12.0,0.29,,,,,,,,,,,,,,,,,40.7,8587.0,20.0,0.47,40.2,19339.0,45.0,0.61,42.4,14066.0,17.0,0.32,,,,,,,,
E,1C,,,,,44.3,8140.0,27.0,0.25,,,,,39.5,3645.0,5.0,0.15,,,,,,,,,,,,,49.8,3899.0,72.0,0.35,50.2,3516.0,19.0,0.32,49.6,9230.0,20.0,0.28,,,,,,,,,44.2,8937.0,49.0,0.32,40.9,11005.0,43.0,0.33,45.0,9210.0,11.0,0.26,44.9,10023.0,13.0,0.23,42.9,8064.0,22.0,0.1,,,,,49.4,8850.0,8.0,0.21,44.2,7865.0,20.0,0.25,49.9,9222.0,29.0,0.25,,,,,,,,,,,,,,,,,44.5,8147.0,13.0,0.23,49.8,8579.0,12.0,0.28,,,,,,,,,,,,,42.9,1975.0,0.0,0.27,44.6,7867.0,22.0,0.26,,,,,49.8,7935.0,8.0,0.3,,,,,40.3,8150.0,15.0,0.09
E,5Q,,,,,45.0,7260.0,22.0,0.24,,,,,38.7,2175.0,5.0,0.11,,,,,,,,,,,,,47.1,3721.0,37.0,0.38,49.1,3511.0,19.0,0.34,48.4,8495.0,24.0,0.31,,,,,,,,,44.4,8240.0,26.0,0.3,40.4,9779.0,63.0,0.32,44.0,8148.0,22.0,0.19,41.9,9005.0,16.0,0.17,28.8,1164.0,57.0,0.22,,,,,48.0,7767.0,16.0,0.24,44.3,6879.0,8.0,0.21,48.5,9204.0,31.0,0.25,,,,,,,,,,,,,,,,,45.3,7293.0,6.0,0.2,48.4,8570.0,15.0,0.24,,,,,,,,,,,,,40.8,1411.0,0.0,0.16,45.2,7105.0,23.0,0.28,,,,,48.5,7635.0,8.0,0.21,,,,,31.5,3751.0,86.0,0.19
E,7Q,,,,,44.9,7262.0,21.0,0.0,,,,,41.8,1695.0,0.0,0.0,,,,,,,,,,,,,46.2,3826.0,55.0,0.0,48.9,3508.0,20.0,0.0,49.8,8495.0,21.0,0.0,,,,,,,,,44.4,8241.0,27.0,0.0,40.6,9806.0,60.0,0.0,44.3,8161.0,21.0,0.0,42.9,9017.0,13.0,0.0,43.5,7354.0,24.0,0.0,,,,,49.3,7787.0,11.0,0.0,44.9,6878.0,9.0,0.0,49.8,9211.0,28.0,0.0,,,,,,,,,,,,,,,,,45.4,7297.0,9.0,0.0,49.5,8569.0,15.0,0.0,,,,,,,,,,,,,41.7,1179.0,0.0,0.0,45.4,7125.0,20.0,0.0,,,,,48.1,7636.0,9.0,0.0,,,,,42.5,7311.0,8.0,0.0
E,8Q,,,,,47.8,7313.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,42.5,3832.0,38.0,0.0,45.7,3513.0,19.0,0.0,45.6,8492.0,28.0,0.0,,,,,,,,,47.2,8304.0,20.0,0.0,43.3,9910.0,38.0,0.0,47.0,8192.0,9.0,0.0,45.4,9020.0,9.0,0.0,47.4,1992.0,0.0,0.0,,,,,45.0,7792.0,9.0,0.0,47.6,6518.0,8.0,0.0,45.7,9213.0,27.0,0.0,,,,,,,,,,,,,,,,,48.3,7320.0,5.0,0.0,45.4,8567.0,16.0,0.0,,,,,,,,,,,,,45.8,503.0,0.0,0.0,48.2,7164.0,9.0,0.0,,,,,45.0,7653.0,7.0,0.0,,,,,44.2,5057.0,6.0,0.0
