,,CAS100ATA,CAS100ATA,CAS100ATA,CAS100ATA,CEBR00ESP,CEBR00ESP,CEBR00ESP,CEBR00ESP,CKIS00COK,CKIS00COK,CKIS00COK,CKIS00COK,COCO00AUS,COCO00AUS,COCO00AUS,COCO00AUS,CUUT00THA,CUUT00THA,CUUT00THA,CUUT00THA,EBRE00ESP,EBRE00ESP,EBRE00ESP,EBRE00ESP,GANP00SVK,GANP00SVK,GANP00SVK,GANP00SVK,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKSL00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,HKWS00HKG,KARR00AUS,KARR00AUS,KARR00AUS,KARR00AUS,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRI00KIR,KIRU00SWE,KIRU00SWE,KIRU00SWE,KIRU00SWE,KOUR00GUF,KOUR00GUF,KOUR00GUF,KOUR00GUF,MAS100ESP,MAS100ESP,MAS100ESP,MAS100ESP,MGUE00ARG,MGUE00ARG,MGUE00ARG,MGUE00ARG,MOBS00AUS,MOBS00AUS,MOBS00AUS,MOBS00AUS,MRO100AUS,MRO100AUS,MRO100AUS,MRO100AUS,NICO00CYP,NICO00CYP,NICO00CYP,NICO00CYP,NNOR00AUS,NNOR00AUS,NNOR00AUS,NNOR00AUS,OHI300ATA,OHI300ATA,OHI300ATA,OHI300ATA,PERT00AUS,PERT00AUS,PERT00AUS,PERT00AUS,PNGM00PNG,PNGM00PNG,PNGM00PNG,PNGM00PNG,POHN00FSM,POHN00FSM,POHN00FSM,POHN00FSM,PTVL00VUT,PTVL00VUT,PTVL00VUT,PTVL00VUT,REDU00BEL,REDU00BEL,REDU00BEL,REDU00BEL,REYK00ISL,REYK00ISL,REYK00ISL,REYK00ISL,SAMO00WSM,SAMO00WSM,SAMO00WSM,SAMO00WSM,SOLO00SLB,SOLO00SLB,SOLO00SLB,SOLO00SLB,TONG00TON,TONG00TON,TONG00TON,TONG00TON,TOW200AUS,TOW200AUS,TOW200AUS,TOW200AUS,VILL00ESP,VILL00ESP,VILL00ESP,VILL00ESP,WARK00NZL,WARK00NZL,WARK00NZL,WARK00NZL,WTZR00DEU,WTZR00DEU,WTZR00DEU,WTZR00DEU,XMIS00AUS,XMIS00AUS,XMIS00AUS,XMIS00AUS,YAR200AUS,YAR200AUS,YAR200AUS,YAR200AUS
,,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath,snr,obs,gaps,multipath
G,5X,47.3,12398.0,29.0,0.0,,,,,49.0,10246.0,30.0,0.0,,,,,45.6,12230.0,85.0,0.0,49.4,9815.0,33.0,0.0,47.6,10637.0,50.0,0.0,,,,,,,,,49.5,10594.0,61.0,0.0,49.2,11155.0,99.0,0.0,,,,,,,,,,,,,,,,,,,,,49.1,10655.0,81.0,0.0,,,,,,,,,,,,,50.9,9260.0,71.0,0.0,49.0,11929.0,81.0,0.0,48.9,10973.0,107.0,0.0,48.0,10651.0,117.0,0.0,,,,,,,,,48.9,11833.0,115.0,0.0,47.8,11207.0,83.0,0.0,47.8,10140.0,175.0,0.0,,,,,,,,,48.3,10595.0,51.0,0.0,,,,,48.6,10749.0,59.0,0.0,,,,
R,1C,43.9,26486.0,64.0,1.12,44.8,22068.0,110.0,1.3,44.9,20717.0,39.0,1.78,42.9,20428.0,94.0,1.3,42.8,21714.0,143.0,1.54,45.0,23291.0,79.0,1.56,45.0,24574.0,98.0,1.41,45.8,21471.0,73.0,1.03,46.2,20852.0,31.0,1.01,44.9,22124.0,49.0,1.68,43.4,21234.0,268.0,1.79,45.0,25619.0,148.0,1.06,42.3,22727.0,207.0,1.63,46.2,22282.0,90.0,1.67,46.2,22948.0,44.0,1.18,39.1,20418.0,83.0,1.17,43.6,22397.0,130.0,1.49,45.6,22529.0,90.0,1.17,44.9,19789.0,73.0,1.64,46.5,25804.0,69.0,1.13,45.6,20340.0,143.0,1.41,43.6,23022.0,127.0,1.89,43.9,20065.0,219.0,2.32,44.8,20048.0,207.0,2.48,45.2,22117.0,115.0,1.46,46.4,11008.0,9.0,0.84,44.5,21871.0,143.0,1.78,42.3,19768.0,132.0,2.12,42.4,20112.0,308.0,1.76,46.4,17700.0,52.0,1.27,44.9,20677.0,176.0,1.4,45.0,21252.0,71.0,1.36,46.5,24749.0,46.0,0.95,44.0,21069.0,93.0,1.57,39.2,20940.0,57.0,1.23
R,1P,42.5,26477.0,66.0,1.05,,,,,43.5,20711.0,41.0,1.67,,,,,41.5,21694.0,143.0,1.49,43.5,23276.0,81.0,1.32,43.6,24566.0,103.0,1.32,,,,,,,,,43.5,22119.0,50.0,1.54,42.1,21190.0,267.0,1.72,,,,,,,,,,,,,,,,,,,,,42.2,22381.0,127.0,1.37,,,,,,,,,,,,,44.1,20319.0,141.0,1.35,42.2,23002.0,124.0,1.8,42.5,20035.0,220.0,2.3,43.4,20024.0,204.0,2.31,,,,,,,,,43.1,21852.0,151.0,1.62,41.1,19746.0,127.0,2.05,41.1,20076.0,305.0,1.69,,,,,,,,,43.6,21233.0,72.0,1.26,,,,,42.6,21055.0,95.0,1.47,,,,
R,2C,41.1,26438.0,84.0,1.01,41.3,21406.0,104.0,1.39,40.7,20686.0,43.0,1.68,42.0,18774.0,81.0,1.3,39.9,21662.0,137.0,1.52,40.9,23211.0,83.0,1.35,39.6,24464.0,133.0,1.37,40.7,21212.0,184.0,0.94,42.2,20785.0,51.0,0.91,40.9,22093.0,49.0,1.6,40.5,21103.0,264.0,1.71,41.4,25027.0,157.0,1.0,38.8,21269.0,244.0,1.76,41.5,21769.0,111.0,1.57,40.9,22520.0,79.0,1.21,40.8,20607.0,68.0,1.3,40.1,22321.0,140.0,1.38,40.3,21973.0,147.0,1.17,41.6,19284.0,96.0,1.53,,,,,41.6,20208.0,129.0,1.45,39.6,22925.0,129.0,1.84,40.2,19864.0,226.0,2.01,40.9,19887.0,193.0,2.17,41.8,21627.0,113.0,1.34,41.6,10960.0,20.0,0.75,40.4,21783.0,170.0,1.57,39.9,19697.0,124.0,1.99,39.7,19887.0,345.0,1.54,42.0,16614.0,41.0,1.15,41.7,19932.0,141.0,1.3,41.6,21185.0,73.0,1.38,43.0,24667.0,52.0,0.87,40.5,21000.0,111.0,1.52,39.3,20293.0,55.0,1.28
R,2P,40.5,26323.0,101.0,0.95,41.7,21221.0,74.0,1.32,40.1,20624.0,59.0,1.67,42.9,16743.0,35.0,1.14,39.3,21585.0,144.0,1.47,40.3,23062.0,107.0,1.17,39.0,24246.0,169.0,1.43,40.3,21270.0,155.0,0.94,41.8,20781.0,47.0,0.96,40.3,21976.0,78.0,1.52,39.9,20902.0,266.0,1.73,41.8,24844.0,111.0,0.91,39.4,20658.0,212.0,1.54,41.9,21591.0,130.0,1.36,41.3,22393.0,101.0,0.93,41.1,20361.0,51.0,1.11,39.6,22130.0,174.0,1.31,39.9,22067.0,133.0,1.12,42.0,19120.0,81.0,1.44,41.8,25627.0,150.0,1.03,41.1,20060.0,110.0,1.41,39.0,22695.0,153.0,1.82,39.7,19575.0,212.0,2.14,40.4,19638.0,173.0,1.95,42.2,21412.0,93.0,1.12,41.2,10952.0,27.0,0.77,39.8,21665.0,169.0,1.54,38.9,19498.0,150.0,1.89,39.3,19475.0,418.0,1.72,42.6,15829.0,19.0,1.09,42.2,19755.0,90.0,1.3,41.0,21074.0,73.0,1.26,42.7,24648.0,51.0,0.93,40.0,20901.0,109.0,1.45,,,,
C,2I,,,,,39.9,8494.0,29.0,0.5,,,,,43.8,27988.0,1.0,0.17,41.1,30180.0,27.0,0.57,39.7,8395.0,11.0,0.61,38.7,12793.0,263.0,0.56,45.6,23025.0,19.0,0.16,45.8,23024.0,17.0,0.14,,,,,,,,,42.1,14220.0,63.0,0.44,42.8,2181.0,14.0,0.41,43.2,6819.0,5.0,0.43,46.4,2050.0,4.0,0.31,,,,,,,,,,,,,43.9,33680.0,32.0,0.28,41.6,6009.0,22.0,0.35,,,,,,,,,,,,,,,,,41.3,11420.0,13.0,0.45,42.8,4089.0,3.0,0.22,,,,,,,,,,,,,,,,,40.4,8465.0,17.0,0.5,40.5,19919.0,31.0,0.54,42.3,13525.0,14.0,0.34,,,,,,,,
E,1C,,,,,44.4,8339.0,28.0,0.25,,,,,39.9,4401.0,4.0,0.16,,,,,,,,,,,,,49.1,4739.0,176.0,0.53,49.3,4306.0,104.0,0.39,,,,,,,,,43.5,10183.0,39.0,0.29,42.9,7399.0,68.0,0.26,45.0,9475.0,29.0,0.29,45.6,7329.0,13.0,0.25,42.7,8669.0,12.0,0.11,,,,,49.4,9051.0,7.0,0.24,44.1,7994.0,22.0,0.24,50.0,7986.0,32.0,0.32,,,,,,,,,,,,,,,,,44.5,8508.0,17.0,0.25,50.2,4428.0,2.0,0.23,,,,,,,,,,,,,42.9,2495.0,2.0,0.22,44.3,8083.0,41.0,0.29,,,,,50.0,7989.0,11.0,0.27,,,,,40.5,8125.0,15.0,0.08
E,5Q,,,,,45.1,8025.0,18.0,0.23,,,,,39.8,3237.0,5.0,0.11,,,,,,,,,,,,,45.9,4682.0,173.0,0.66,47.9,4291.0,98.0,0.48,,,,,,,,,44.2,9268.0,17.0,0.26,42.5,7253.0,67.0,0.27,44.2,8818.0,20.0,0.19,42.6,7076.0,13.0,0.19,29.4,1139.0,47.0,0.2,,,,,48.0,8206.0,10.0,0.26,44.7,7036.0,9.0,0.2,48.5,7951.0,37.0,0.33,,,,,,,,,,,,,,,,,45.4,7994.0,10.0,0.2,49.1,4422.0,6.0,0.19,,,,,,,,,,,,,42.2,1108.0,1.0,0.15,45.3,7653.0,23.0,0.26,,,,,48.5,7962.0,11.0,0.22,,,,,33.2,4225.0,47.0,0.16
E,7Q,,,,,44.9,8064.0,18.0,0.0,,,,,40.3,2459.0,3.0,0.0,,,,,,,,,,,,,44.7,4608.0,199.0,0.0,47.5,4293.0,98.0,0.0,,,,,,,,,44.1,9277.0,25.0,0.0,42.5,7310.0,59.0,0.0,44.5,8828.0,17.0,0.0,43.6,7089.0,17.0,0.0,43.6,7697.0,13.0,0.0,,,,,49.3,8232.0,10.0,0.0,45.2,7039.0,8.0,0.0,49.8,7961.0,35.0,0.0,,,,,,,,,,,,,,,,,45.5,7996.0,13.0,0.0,50.1,4424.0,3.0,0.0,,,,,,,,,,,,,43.3,674.0,0.0,0.0,45.5,7642.0,27.0,0.0,,,,,48.0,7968.0,12.0,0.0,,,,,43.4,7337.0,11.0,0.0
E,8Q,,,,,47.8,8116.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,40.8,4672.0,167.0,0.0,44.1,4292.0,96.0,0.0,,,,,,,,,47.1,9296.0,15.0,0.0,45.0,7502.0,37.0,0.0,47.3,8848.0,10.0,0.0,46.0,7105.0,12.0,0.0,46.6,2181.0,2.0,0.0,,,,,44.9,8248.0,8.0,0.0,48.0,7022.0,5.0,0.0,45.7,7958.0,31.0,0.0,,,,,,,,,,,,,,,,,48.4,8032.0,7.0,0.0,46.4,4413.0,2.0,0.0,,,,,,,,,,,,,,,,,48.3,7468.0,15.0,0.0,,,,,44.9,7985.0,11.0,0.0,,,,,45.6,4846.0,9.0,0.0
